카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_유아/아동 도서,"스마트파닉스 본책 1~5권, 워크북1~5권","50,000",SALE,본인인증 회원,False,True,럭키위니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594655,1107594655
도서_유아/아동 도서,에그스쿨 영상 공유 (가격내림),"340,000",ESCROW,본인인증 회원,True,True,효리앙꼬맘,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594589,1107594589
도서_유아/아동 도서,리미떼두두 라피아 썬캡 모자 S,"13,000",RESERVATION_ESCROW,중고나라 회원,True,True,햐츄,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594358,1107594358
도서_유아/아동 도서,이현세 만화 한국사 바로보기 1-12 (택포),"30,000",SOLD_OUT,중고나라 회원,False,False,mong221,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594304,1107594304
도서_유아/아동 도서,사이언싱톡톡 40권,"23,456",SOLD_OUT,본인인증 회원,False,False,롱쥬,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593861,1107593861
도서_유아/아동 도서,수상한 시리즈 14권,"95,000",ESCROW,본인인증 회원,True,True,아껴쓰고돌려주자,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593811,1107593811
도서_유아/아동 도서,개정판 도레미곰50권+ 참마음그림책10권*택포*,"228,000",ESCROW,인증+안전거래 회원,True,True,꽃보다 나 0,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593280,1107593280
도서_유아/아동 도서,비주얼박물관 어린이책 저학년책 초등학생책 아동책 아동도서 아동서적 어린이도서 어린이서적 저학년서적 저학년도서 필독서 과학책 어린이과학 지식백과 백과사전,"40,000",SALE,중고나라 회원,False,True,게시글읽고문자,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593095,1107593095
도서_유아/아동 도서,"교원에듀 호시탐탐 세계인물 - 완벽구성, 최신개정판, 새책수준","100,000",ESCROW,중고나라 회원,True,True,아롱다롱00,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593016,1107593016
도서_유아/아동 도서,"탄탄 역사속으로 - ​​완벽구성, 새책수준","70,000",ESCROW,중고나라 회원,True,True,아롱다롱00,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592969,1107592969
도서_유아/아동 도서,"교원 생각이 반짝이는 지식별 - 최신판, 완벽구성, 아주깨끗","80,000",ESCROW,중고나라 회원,True,True,아롱다롱00,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592945,1107592945
도서_유아/아동 도서,노부영 퍼스트리더JFR 96 +JFR 플러스,"140,000",SALE,중고나라 회원,False,True,0제제0,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592352,1107592352
도서_유아/아동 도서,설민석의 세계사대모험 1~14권,"70,000",SOLD_OUT,본인인증 회원,True,False,도나슝,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592046,1107592046
도서_유아/아동 도서,(칼라 만화) 나의 문화유산 답사기/먼나라 이웃나라/도티 잠뜰 코믹시리즈/이현세 만화 한국사 바로보기/한자대탐험/ 메이플 홈런왕 영웅대전/ 졸라맨 건즈/위기탈출 넘버원/ 학교 미스터리/우리몸의 비밀 판매​,"12,345",SALE,본인인증 회원,False,True,고래와올챙이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591988,1107591988
도서_유아/아동 도서,도레미곰  50권 (택포),"215,000",SALE,본인인증 회원,False,True,myoung0228,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591968,1107591968
도서_유아/아동 도서,알록달록엘머전집  (택포),"135,000",SALE,본인인증 회원,False,True,myoung0228,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591939,1107591939
도서_유아/아동 도서,여원미디어 탄탄자연속으로 32권(택포1만),"10,000",ESCROW,인증+안전거래 회원,True,True,나는2학년,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591922,1107591922
도서_유아/아동 도서,어린이과학탐구 기탄 46권(택포1만),"10,000",ESCROW,인증+안전거래 회원,True,True,나는2학년,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591915,1107591915
도서_유아/아동 도서,웅진 음악이들리는 이야기책 뮤뮤 30권 전권(택포2만),"20,000",ESCROW,인증+안전거래 회원,True,True,나는2학년,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591905,1107591905
도서_유아/아동 도서,웅진 한걸음 먼저 인성철학 /택포12만,"120,000",SALE,중고나라 회원,False,True,더행복할우리가족,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591584,1107591584
도서_유아/아동 도서,프뢰벨영아테마동화전구성씽킹펜버전,"12,345",SALE,중고나라 회원,False,True,snszl203,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591450,1107591450
도서_유아/아동 도서,"몬스터매스 챌린지 step1~3 
총 8세트+교구","120,000",SALE,인증+안전거래 회원,False,True,은하띠이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591266,1107591266
도서_유아/아동 도서,프뢰벨말하기 전구성,"12,345",SALE,중고나라 회원,False,True,jang01024,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591198,1107591198
도서_유아/아동 도서,"[판매]잠수네 fly guy,who would win,world of reading 마블,Authur,스콜라스틱","2,000",SALE,◆셀러회원◆,False,True,웃고리딩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591192,1107591192
도서_유아/아동 도서,어스본 호기심퐁퐁플랩북,"12,345",SALE,중고나라 회원,False,True,jang01024,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590938,1107590938
도서_유아/아동 도서,"프뢰벨 영어토탈 퍼펙트 전구성 75만원 일괄 판매합니다. (씽킹펜, 음원 포함 전구성)_유아 영어공부책","750,000",ESCROW,본인인증 회원,True,True,joongosam,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590850,1107590850
도서_유아/아동 도서,영어동요책택포,"10,000",SALE,본인인증 회원,False,True,gupo,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590746,1107590746
도서_유아/아동 도서,세상에서가장행복한예쁜공주이야기 어린이책 유아책 아기책 동화책 그림책 유아도서 유아서적 아동책 아동도서 어린이서적 어린이도서 아동서적 백설공주 신데렐라 라푼젤 빨간모자 인어공주 성냥팔이소녀 외,"6,000",SALE,중고나라 회원,False,True,글보고문자주세요,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590630,1107590630
도서_유아/아동 도서,안녕마음아 58권 세이펜버전 (택포12만) 안녕 마음아,"120,000",SOLD_OUT,중고나라 회원,False,False,mong221,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590236,1107590236
도서_유아/아동 도서,알파짱 사회동화64권,"50,000",SALE,중고나라 회원,False,True,둥둥14,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590086,1107590086
도서_유아/아동 도서,어린이 과학동아 31권,"40,000",ESCROW,인증+안전거래 회원,True,True,듀오퐁,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589884,1107589884
도서_유아/아동 도서,파랑새 삼국지 구비동화 12권,"20,000",ESCROW,인증+안전거래 회원,True,True,듀오퐁,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589784,1107589784
도서_유아/아동 도서,투피와비누,"10,000",SALE,본인인증 회원,False,True,preettyu19,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589738,1107589738
