카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_학습/교재,2023서울시 간호직공무원 다 한꺼번에 판매,"20,000",SALE,인증+안전거래 회원,False,True,택배외문의사절합니다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696544,1107696544
도서_학습/교재,Principles of Modern Chemistry 8판 8th Edition 새 책 판매합니다. 옥스토비 OXTOBY GILLIS BUTLER  Cengage Learning,"28,000",SALE,중고나라 회원,False,True,goodpositive,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696530,1107696530
도서_학습/교재,"2026 강민철 새기분 문학,독서 세트 판매","100,000",SOLD_OUT,본인인증 회원,False,False,8하트투하트8,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696469,1107696469
도서_학습/교재,다산에듀 전기기사 필기기출문제집 2024(+usb),"70,000",SOLD_OUT,중고나라 회원,True,False,candy6937,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696441,1107696441
도서_학습/교재,한석봉 만화 천자문,"15,000",SALE,중고나라 회원,False,True,swansong,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696191,1107696191
도서_학습/교재,만화 판례헌법2 : 헌법과 기본권 (성낙인 지음 법률저널 출판사),"10,000",SALE,본인인증 회원,False,True,8Hpjgdea,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696058,1107696058
도서_학습/교재,프뢰벨 리딩토탈 105  팝니다,"30,000",SALE,중고나라 회원,False,True,용궁맘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696048,1107696048
도서_학습/교재,만화 판례헌법1 : 헌법과 정치제도 (성낙인 지음 법률저널 출판사),"10,000",SALE,본인인증 회원,False,True,8Hpjgdea,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696019,1107696019
도서_학습/교재,웅진 한걸음 먼저 지리 팝니다,"40,000",SALE,중고나라 회원,False,True,용궁맘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696006,1107696006
도서_학습/교재,해커스공무원 처음 헌법 만화판례집,"10,000",SALE,본인인증 회원,False,True,8Hpjgdea,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695791,1107695791
도서_학습/교재,Subject link 1-9,"80,000",SALE,본인인증 회원,False,True,꼬므꼬느,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695767,1107695767
도서_학습/교재,해커스공무원 처음 행정법 만화판례집,"10,000",SALE,본인인증 회원,False,True,8Hpjgdea,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695615,1107695615
도서_학습/교재,완자 화학1 문제집 새상품,"14,000",SALE,인증+안전거래 회원,False,True,슈퍼스타마카롱,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695370,1107695370
도서_학습/교재,산업안전지도사 건설안전 한국기술사학원 동영상 강의 양도합니다.,"200,000",ESCROW,본인인증 회원,True,True,이재원,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695327,1107695327
