카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_기타,(미개봉신상품) zorn 독일 조른 차량용 26L 대용량 냉장고 팝니다.,"65,000",SALE,중고나라 회원,False,True,berton273,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594171,1107594171
디지털 / 가전_기타,태양광 인버터 20kw,"450,000",SALE,중고나라 회원,False,True,중나고우,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592895,1107592895
디지털 / 가전_기타,구독자 9.3만명 유튜브채널 쇼츠채널 판매(한국인채널) 작업X 수익창출X,"7,000,000",SALE,중고나라 회원,False,True,안녕하세오허허,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590372,1107590372
디지털 / 가전_기타,Zybo Z7 20 구매원합니다,"100,000,000",SALE,중고나라 회원,False,True,Johnny곤,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588859,1107588859
디지털 / 가전_기타,우머나이저 넥스트 (정품),"150,000",SOLD_OUT,중고나라 회원,False,False,에리타,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586011,1107586011
디지털 / 가전_기타,쿠팡 롯데 택배전용 케리케이원 X-4 블루투스 스캐너,"85,000",SALE,본인인증 회원,False,True,달봉이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585875,1107585875
디지털 / 가전_기타,아누크 발마사지기 발안마기 구매원합니다,"2,000",ESCROW,중고나라 회원,True,True,난영단어,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585670,1107585670
디지털 / 가전_기타,"미니pc, M4 Pro SOYO N150 16G 512GB, 샤오미증폭기(공짜로드림)","190,000",SALE,중고나라 회원,False,True,퐁퐁환,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585261,1107585261
디지털 / 가전_기타,"위닉스 타워XQ 공기청정기 정품 필터세트
새상품(택포)","40,000",SALE,본인인증 회원,False,True,뽈때기사랑,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585201,1107585201
디지털 / 가전_기타,태양광 인버터 3.5kw 2개 판매합니다,"300,000",SOLD_OUT,중고나라 회원,False,False,거북52,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584132,1107584132
디지털 / 가전_기타,뿌레 팝니다.,"110,000",ESCROW,본인인증 회원,True,True,문곰씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579692,1107579692
디지털 / 가전_기타,학습리모컨 3개 일괄 판매,"20,000",SALE,본인인증 회원,False,True,에스급중고직장인,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578221,1107578221
