카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_미용가전/기기,장나라 하이푸 풀쎄라 가정용 울쎄라 정가 68만,"430,000",SALE,본인인증 회원,False,True,cadies,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594330,1107594330
디지털 / 가전_미용가전/기기,"마데카프라임 인피니티 블랙 미개봉새상품

​

​","460,000",SOLD_OUT,인증+안전거래 회원,True,False,pak7121,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592478,1107592478
디지털 / 가전_미용가전/기기,[싸고 저렴하게 판매] 메디니스 (MEDINESS) 손 마사지기 (진동 과 온열 가능) 판매합니다.,"46,587",SALE,중고나라 회원,False,True,르마튄,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592372,1107592372
디지털 / 가전_미용가전/기기,헤드스파 워터 순환식,"120,000",RESERVATION,중고나라 회원,False,True,이뻐질라공,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592201,1107592201
디지털 / 가전_미용가전/기기,파테크 pd-H4300 2300w 드라이기 2대 판매합니다.,"40,000",SOLD_OUT,중고나라 회원,False,False,usai,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592076,1107592076
디지털 / 가전_미용가전/기기,다이슨 에어랩 220v,"450,000",SALE,중고나라 회원,False,True,뱀뱀이엄빠,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591830,1107591830
디지털 / 가전_미용가전/기기,다이슨 에어랩 본체만 220v로 교환하고 싶어요!,"2,000",SALE,중고나라 회원,False,True,뚜또리링,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590675,1107590675
디지털 / 가전_미용가전/기기,풀리오 V2 목어깨 안마기 마사지기,"70,000",SALE,본인인증 회원,False,True,마르니123,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588475,1107588475
디지털 / 가전_미용가전/기기,다이슨 에어랩 롱 블루 코퍼(새상품),"530,000",SOLD_OUT,중고나라 회원,True,False,달콤한 딸기,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588396,1107588396
디지털 / 가전_미용가전/기기,필립스 5000 시리즈 전기면도기,"90,000",SALE,중고나라 회원,False,True,삼화PTS,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586857,1107586857
디지털 / 가전_미용가전/기기,워맥스 셋팅기 벽걸이형,"550,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,케놀,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586823,1107586823
디지털 / 가전_미용가전/기기,드림시스 V5+ 진공 RF 고주파 마사지기입니다,"1,650,000",SALE,중고나라 회원,False,True,덩경순,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586246,1107586246
디지털 / 가전_미용가전/기기,미개봉 다이슨 에어랩 id세라믹토파즈,"540,000",ESCROW,인증+안전거래 회원,True,True,손해보는상점,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586122,1107586122
디지털 / 가전_미용가전/기기,브라운 전기면도기 시리즈5 52-B1000s 블루,"86,000",SALE,중고나라 회원,False,True,삼화PTS,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586034,1107586034
디지털 / 가전_미용가전/기기,바비리스 봉고데기 2289XLK 40mm,"20,000",ESCROW,본인인증 회원,True,True,꼴통탁이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586000,1107586000
디지털 / 가전_미용가전/기기,필립스 RQ1008 젯클린 스테이션,"30,000",SALE,중고나라 회원,False,True,jillian623,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585056,1107585056
디지털 / 가전_미용가전/기기,유닉스 에어샷,"250,000",SALE,중고나라 회원,False,True,충토리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584281,1107584281
디지털 / 가전_미용가전/기기,다이슨 에어랩 롱 핑크색상,"420,000",ESCROW,인증+안전거래 회원,True,True,손해보는상점,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584087,1107584087
디지털 / 가전_미용가전/기기,사기채팅 금지!!! 센텔리안24  마데카프라임 미사용 제품 (상자는 개봉),"175,000",SALE,본인인증 회원,False,True,jjmmvv,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581938,1107581938
디지털 / 가전_미용가전/기기,메디큐브 에이지알 부스터프로,"230,000",ESCROW,중고나라 회원,True,True,달콩마로,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581615,1107581615
디지털 / 가전_미용가전/기기,포뷰트 엠스타일러 팝니다. (고데기 빗),"35,000",SALE,중고나라 회원,False,True,또치,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581480,1107581480
디지털 / 가전_미용가전/기기,JMW MS6301A 에어젯 울트라 PRO 전문가용 1700W 헤어 드라이기 미개봉 새제품 팝니다,"67,000",SALE,중고나라 회원,False,True,wayeon2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581214,1107581214
디지털 / 가전_미용가전/기기,멜라닌케어 기기팝니다!,"950,000",SALE,중고나라 회원,False,True,qqhd****,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107580734,1107580734
디지털 / 가전_미용가전/기기,보탬 보템 가슴복부피스 PPC앰플 핸드피스,"80,000",SALE,인증+안전거래 회원,False,True,Mr플랑크톤,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579610,1107579610
디지털 / 가전_미용가전/기기,다이슨 에어랩 배럴 브러쉬 툴,"40,000",SALE,중고나라 회원,False,True,릴리여우,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579154,1107579154
디지털 / 가전_미용가전/기기,닥터플라톤(플라즈마&토닝),"1,100,000",ESCROW,본인인증 회원,True,True,ysuk9613,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578506,1107578506
디지털 / 가전_미용가전/기기,다이슨 코랄 스트레이너,"11,111",SALE,본인인증 회원,False,True,llldilll,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577657,1107577657
디지털 / 가전_미용가전/기기,브라운 XT5000 바디 트리머 제모기 판매합니다.,"50,000",SALE,본인인증 회원,False,True,피아트P,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577509,1107577509
디지털 / 가전_미용가전/기기,다이슨 에어랩 여행용파우치 정품(블랙코퍼),"32,000",SALE,중고나라 회원,False,True,올리브,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577410,1107577410
디지털 / 가전_미용가전/기기,실큰 쥬얼 제모기,"190,000",SALE,중고나라 회원,False,True,happy day,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577064,1107577064
디지털 / 가전_미용가전/기기,모미래빔 두피케어기기,"50,000",ESCROW,중고나라 회원,True,True,파랑dl,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576849,1107576849
디지털 / 가전_미용가전/기기,고주파기 보템고주파기 에너지테라피 매직라인고주파기 석션고주파기 셀소닉초음파 캐비테이션초음파기 기타등.. 땡처리 합니다.. 빨리 가져가세요 가격내림,"2,222",SALE,본인인증 회원,False,True,울미니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575687,1107575687
디지털 / 가전_미용가전/기기,초음파기 고급형 물방울초음파기 팝니다.,"11,111",SALE,본인인증 회원,False,True,울미니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575644,1107575644
디지털 / 가전_미용가전/기기,고주파기 온열기  하리푸초음파 써마트릭스 게히종 스티머 샵정히합니다..,"11,111",SALE,본인인증 회원,False,True,울미니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575575,1107575575
디지털 / 가전_미용가전/기기,이동식 샴푸대,"650,000",SALE,본인인증 회원,False,True,다요아빠,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575245,1107575245
디지털 / 가전_미용가전/기기,글램팜 GP201T 글램팬더 고데기 새상품 팝니다,"190,000",SALE,본인인증 회원,False,True,훗토리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573496,1107573496
디지털 / 가전_미용가전/기기,브라운 면도기 5 52-N1000s 미개봉 신품,"70,000",SALE,본인인증 회원,False,True,백야r,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572355,1107572355
디지털 / 가전_미용가전/기기,메디큐브 에이지알 풀세트,"360,000",SALE,중고나라 회원,False,True,딸기86,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571914,1107571914
