카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_소형음향기기,하만카돈 오닉스 스튜디오8 스피커 블랙,"2,222",SALE,본인인증 회원,False,True,kongjing57463,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697507,1107697507
디지털 / 가전_소형음향기기,"부품,디피용 마이마이,워크맨류 카세트 2종 팝니다..(AHA,아남등.)","39,000",SALE,중고나라 회원,False,True,Rock62,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697230,1107697230
디지털 / 가전_소형음향기기,갤럭시 버즈3프로,"125,000",SOLD_OUT,중고나라 회원,False,False,제주치키,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696914,1107696914
디지털 / 가전_소형음향기기,maxell DAT 테이프 팔아요. (미개봉),"500,000",SALE,중고나라 회원,False,True,조정샘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696909,1107696909
디지털 / 가전_소형음향기기,아크티스 노바3 풀박스 판매합니다.(정확히 한달 사용),"60,000",SALE,중고나라 회원,False,True,molisse,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696879,1107696879
디지털 / 가전_소형음향기기,갤럭시 버즈3프로 미개봉,"165,000",SOLD_OUT,중고나라 회원,False,False,제주치키,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696856,1107696856
디지털 / 가전_소형음향기기,소니 wh1000xm4,"110,000",SOLD_OUT,본인인증 회원,False,False,뿡뿡대사,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696604,1107696604
디지털 / 가전_소형음향기기,"에어팟 프로2 C타입 SSS급(미사용,포장만 뜯었습니다. 풀박)","220,000",SALE,본인인증 회원,False,True,깁시,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696500,1107696500
디지털 / 가전_소형음향기기,SONY 워크맨 NW F806 32G 핑크색상 정상작동품 판매합니다.,"60,000",SALE,인증+안전거래 회원,False,True,cks1603,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696338,1107696338
디지털 / 가전_소형음향기기,SONY 워크맨 CDP D-E700 실버색상 정상작동품 판매 합니다.,"123,456",SOLD_OUT,인증+안전거래 회원,False,False,cks1603,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696323,1107696323
디지털 / 가전_소형음향기기,토핑 dx1 실버,"70,000",SOLD_OUT,중고나라 회원,False,False,혈투곰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695794,1107695794
디지털 / 가전_소형음향기기,Go+play3 고플레이3 블루투스 스피커 (남양주 별내),"210,000",SALE,중고나라 회원,False,True,Quy407,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695188,1107695188
디지털 / 가전_소형음향기기,무선이어폰,"15,000",SOLD_OUT,중고나라 회원,False,False,37758373,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694887,1107694887
디지털 / 가전_소형음향기기,에어팟 맥스 실버 풀셋 케이스까지!,"350,000",ESCROW,인증+안전거래 회원,True,True,yeyeyeyeiiiiiuuu,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694526,1107694526
디지털 / 가전_소형음향기기,마샬 터프톤 블루투스 스피커 판매합니다,"360,000",SALE,본인인증 회원,False,True,쫄깃푸우,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694426,1107694426
디지털 / 가전_소형음향기기,마샬액톤3 블루투스 스피커 미개봉 새상품,"350,000",SALE,중고나라 회원,False,True,잠탱이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694333,1107694333
디지털 / 가전_소형음향기기,슈어 베타87a 정품 팝니다.,"260,000",SOLD_OUT,본인인증 회원,False,False,Cupwine,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694112,1107694112
