카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
명품_남성의류,폴스미스 클래식 치노 리넨 숏츠 반바지,"150,000",SALE,중고나라 회원,False,True,party7977,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697148,1107697148
명품_남성의류,이태리 알마니 니트,"120,000",SALE,중고나라 회원,False,True,party7977,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697071,1107697071
명품_남성의류,[판매] 정품 준지 오버 셔츠 46사이즈(110) [백화점구입 상태매우좋음],"120,000",SALE,본인인증 회원,False,True,신간지군,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696803,1107696803
명품_남성의류,캡틴선샤인 포티지 블루종 네이비 40 Portage Blouson,"450,000",SALE,인증+안전거래 회원,False,True,휜조몰1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696798,1107696798
명품_남성의류,바바리안 반팔 럭비티 XL,"40,000",SALE,인증+안전거래 회원,False,True,휜조몰1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696705,1107696705
명품_남성의류,105-110 정품 버버리 린넨 블레이져 자켓 / 그레이 긴팔 카라티,"250,000",SALE,인증+안전거래 회원,False,True,클래식 맨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695857,1107695857
명품_남성의류,몽클레어 국내정품 남성점퍼 3사이즈,"610,000",SALE,본인인증 회원,False,True,kwkoo999,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695268,1107695268
명품_남성의류,버버리 그래피티 반바지 S / 버버리 공식홈,"360,000",SALE,본인인증 회원,False,True,신센스신매력,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694291,1107694291
명품_남성의류,해골티셔츠 티셔츠M 자수티셔츠 남녀공용 티셔츠90 티셔츠55 티셔츠66 빈티지티셔츠 반팔티셔츠 여름티셔츠 면티셔츠 여름티 반팔티 펑크룩 고스룩 멘헤라 지뢰계,"20,000",SALE,중고나라 회원,False,True,eclipseUp,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693304,1107693304
명품_남성의류,M 폴로 polo 랄프로렌 화이트 스트라이프 / 오렌지 체크 / 그린 블루 체크셔츠 정리,"55,000",SOLD_OUT,인증+안전거래 회원,False,False,polo4337,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691688,1107691688
