카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미술/음악_악기,Cort 콜트 스트렛 일렉기타 전자 기타,"150,000",ESCROW,본인인증 회원,True,True,nkbeck,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594509,1107594509
미술/음악_악기,"조용한청년들 방음부스 1.8×1.8m 2개, 1.8×2.4m 1개","4,700,000",SOLD_OUT,인증+안전거래 회원,False,False,유정낙지아빠,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594156,1107594156
미술/음악_악기,휴대용 여행용 미니 스팀 다리미,"6,000",SOLD_OUT,본인인증 회원,True,False,1s 메종일각,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594144,1107594144
미술/음악_악기,BOYANG 보양 4/4 사이즈 바이올린 BVS-101,"65,000",ESCROW,본인인증 회원,True,True,nkbeck,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594121,1107594121
미술/음악_악기,데임 M260 일렉기타,"130,000",SALE,중고나라 회원,False,True,dsfgve,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593475,1107593475
미술/음악_악기,"알렌앤히스WZ3(Allen&Heath
Mix Wizard WZ14:4:2)알렌히스 위자드","700,000",ESCROW,본인인증 회원,True,True,notguilty2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593377,1107593377
미술/음악_악기,Blueberry 마이크 팝니다,"500,000",SALE,중고나라 회원,False,True,즐거운주말을위해,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592192,1107592192
미술/음악_악기,시그마 기타 OMT-28H,"250,000",SOLD_OUT,인증+안전거래 회원,False,False,아파시멘토,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592062,1107592062
미술/음악_악기,영창피아노 U-121CI 피아노,"500,000",SALE,본인인증 회원,False,True,개주맹,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590947,1107590947
미술/음악_악기,깁슨 커스텀샵 레스폴 에보니,"6,100,000",SOLD_OUT,중고나라 회원,False,False,rbalsrbals,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590929,1107590929
미술/음악_악기,야마하 플룻 221,"130,000",SOLD_OUT,인증+안전거래 회원,True,False,심델,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590859,1107590859
미술/음악_악기,얼후 판매합니다,"300,000",SALE,중고나라 회원,False,True,콩깍지v,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590680,1107590680
미술/음악_악기,뷔페 프로디지 크람폰 클라리넷 판매합니다,"850,000",SALE,중고나라 회원,False,True,낭만고양이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588448,1107588448
미술/음악_악기,틱톡 라이트 신규이신분 삽니다 [8만원 입금] 내역⭕️,"80,000",SOLD_OUT,인증+안전거래 회원,True,False,친절한젤리캣,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585967,1107585967
미술/음악_악기,일렉 기타 (ESP - LTD 커크해밋 KH-3) (새상품),"1,600,000",SALE,중고나라 회원,False,True,GENTLEMAN777,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585861,1107585861
미술/음악_악기,하겐 스페셜 3/4 바이올린 팝니다.  special,"2,500,000",SOLD_OUT,중고나라 회원,True,False,열정을,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585501,1107585501
미술/음악_악기,가와이 ES920,"1,350,000",SALE,인증+안전거래 회원,False,True,해피복만,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584636,1107584636
미술/음악_악기,PETERSON STOMP MINI,"150,000",ESCROW,인증+안전거래 회원,True,True,해피복만,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584576,1107584576
미술/음악_악기,급처) sire v10 1gen 사용감 있음. 택배 거래 가능,"800,000",SALE,중고나라 회원,False,True,SayMore,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582823,1107582823
미술/음악_악기,모노버티고케이스(일렉기타용) 판매,"100,000",SOLD_OUT,본인인증 회원,True,False,다입,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582227,1107582227
미술/음악_악기,바이올린 올리브e현,"19,000",SALE,본인인증 회원,False,True,홍실동,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581070,1107581070
미술/음악_악기,파버카스텔 온도로 블랙 만년필 팝니다.,"55,000",SALE,중고나라 회원,False,True,마우마유,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107580662,1107580662
미술/음악_악기,야마하 디지털 피아노 CLP-635 (판매 90만원),"900,000",SALE,중고나라 회원,False,True,ohsegon1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578942,1107578942
미술/음악_악기,"롤랜드 전자드럼 패드 pd-125, cy-12r/c, cy-5","100,000",SOLD_OUT,본인인증 회원,False,False,ㅅㄹ한,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578454,1107578454
미술/음악_악기,카시오 cdp 120 팝니다,"130,000",SALE,본인인증 회원,False,True,오늘하루르,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578120,1107578120
미술/음악_악기,야마하 업라이트 피아노 70만원,"700,000",ESCROW,본인인증 회원,True,True,송바강의기적,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577444,1107577444
미술/음악_악기,야마하 slg200s 사일런트 기타,"520,000",SALE,본인인증 회원,False,True,일마,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577245,1107577245
미술/음악_악기,영창 커즈와일 피아노 m120+전용헤드폰,"350,000",SOLD_OUT,인증+안전거래 회원,False,False,성령의이름으로,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577121,1107577121
미술/음악_악기,아이바네즈 SRMD200 베이스 기타,"350,000",SALE,본인인증 회원,False,True,gnalachim,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576048,1107576048
미술/음악_악기,효정바이올린 600 3/4,"500,000",SALE,본인인증 회원,False,True,콩콩이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575743,1107575743
미술/음악_악기,체코산 바이올린 4/4,"250,000",SALE,◆셀러회원◆,False,True,빈티지뮤직1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575688,1107575688
미술/음악_악기,[중고] YAMAHA YAS-275 판매합니다. 안양 직거래(가격수정),"650,000",SOLD_OUT,중고나라 회원,False,False,쟈마르,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573357,1107573357
미술/음악_악기,"사운드크래프트 K1 8ch, K1 16ch, K1 24ch, 델타 200 24ch, 스피릿 8 24ch 팝니다","1,100,000",SALE,본인인증 회원,False,True,neat916,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572852,1107572852
미술/음악_악기,폐업 매장정리) 야마하피아노 최대한 저렴한 가격에 판매합니다.,"1,600,000",SOLD_OUT,◆셀러회원◆,False,False,피아노mom,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571807,1107571807
미술/음악_악기,야마하 제노 YSL-825G 테너트롬본 판매합니다,"5,500,000",SALE,중고나라 회원,False,True,hearinn,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570904,1107570904
미술/음악_악기,uad 아폴로 apollo x6,"2,000,000",ESCROW,본인인증 회원,True,True,안주의역습,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570353,1107570353
미술/음악_악기,고딘 멀티악 나일론 듀엣 엠비언스 + 전용 하드케이스 + 기타 비품 팔아요,"1,600,000",SALE,중고나라 회원,False,True,skoner145,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107567899,1107567899
미술/음악_악기,베링거 모노 폴리 신디사이저 팝니다 behringer monopoly,"550,000",ESCROW,중고나라 회원,True,True,보카로P,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107567380,1107567380
미술/음악_악기,사르지오 sarzio 120m 통기타 판매합니다.,"40,000",SALE,중고나라 회원,False,True,솔로미,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107567106,1107567106
미술/음악_악기,작은사이즈 영창그랜드피아노 G-175BP,"3,500,000",SALE,◆셀러회원◆,False,True,피아노아저씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566897,1107566897
미술/음악_악기,악기용기기정리,"1,211,111",SALE,중고나라 회원,False,True,jaaney,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566759,1107566759
미술/음악_악기,스칼렛 솔로 3세대 풀박스 팝니다,"100,000",SALE,본인인증 회원,False,True,은지 Eunji,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566552,1107566552
미술/음악_악기,바이올린 1/4 심로 안토니오,"50,000",SALE,◆셀러회원◆,False,True,빈티지뮤직1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566275,1107566275
미술/음악_악기,"암스트롱 104 플룻 (취미, 입문용) 팝니다. (사진확인, 5만원)","50,000",SALE,중고나라 회원,False,True,zep31guitar,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566183,1107566183
미술/음악_악기,2022년제품야마하베이비그랜드피아노 GC-1,"13,500,000",SALE,◆셀러회원◆,False,True,피아노아저씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565477,1107565477
미술/음악_악기,[판매] 공연용 버찌드럼 풀세트(새제품) 파격가!!,"690,000",SALE,◆셀러회원◆,False,True,rogersseven,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564509,1107564509
미술/음악_악기,[악기 판매] 메쉬 전자드럼 새제품 45 만원 급처!!!,"450,000",SALE,◆셀러회원◆,False,True,rogersseven,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564420,1107564420
미술/음악_악기,악기 드럼세트 (미개봉박스) 65 만원 !!,"650,000",SALE,◆셀러회원◆,False,True,rogersseven,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564333,1107564333
미술/음악_악기,[판매] 신품 드럼 풀세트 55만원!!,"550,000",SALE,◆셀러회원◆,False,True,rogersseven,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564252,1107564252
미술/음악_악기,루비츠 앤 손즈 업라이트 피아노 싸게 팝니다 (SX-380),"950,000",SALE,인증+안전거래 회원,False,True,rltnrtk1234,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563762,1107563762
미술/음악_악기,앰프 판매 합니다,"170,000",SALE,본인인증 회원,False,True,FLFJFN5순호FLFJFN530,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563536,1107563536
미술/음악_악기,일렉기타 빈티지,"180,000",SALE,중고나라 회원,False,True,freebox7,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107562597,1107562597
미술/음악_악기,2018년생산 화이트 영창베이비 그랜드피아노 Y-157,"5,900,000",SALE,◆셀러회원◆,False,True,피아노아저씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107562554,1107562554
미술/음악_악기,인도악기 시타르,"300,000",SALE,본인인증 회원,False,True,guitarnangman,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107562251,1107562251
미술/음악_악기,에피폰 어쿠스틱 통기타 픽업장착 29만원,"290,000",SALE,중고나라 회원,False,True,V제이디,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107561287,1107561287
