카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용_기타 미용용품,수달컴퍼니 수달사순 미용 앞치마 (체인히든힙) *반택포,"60,000",SALE,인증+안전거래 회원,False,True,쿠앤크냐미,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594260,1107594260
미용_기타 미용용품,네일 쿠오레니퍼X (반택포),"70,000",SALE,인증+안전거래 회원,False,True,쿠앤크냐미,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594242,1107594242
미용_기타 미용용품,메디큐브 부스터프로 미개봉,"230,000",SALE,본인인증 회원,False,True,캐나다불곰,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594181,1107594181
미용_기타 미용용품,오호라 젤네일팁,"40,000",SALE,인증+안전거래 회원,False,True,쥬쉬후뤠쉬,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593934,1107593934
미용_기타 미용용품,"오호라 젤네일, 젤패디","7,000",SALE,인증+안전거래 회원,False,True,쥬쉬후뤠쉬,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593456,1107593456
미용_기타 미용용품,어메이징빅토리아 노원 경락 양도,"999,000",SALE,중고나라 회원,False,True,pkr0113,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591417,1107591417
미용_기타 미용용품,"속눈썹펌 반하다 샌드롯드 / 30,000 판매해요 !","30,000",SOLD_OUT,중고나라 회원,False,False,이호두누낭,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590013,1107590013
미용_기타 미용용품,"속눈썹펌 오샤레 송편롯드 시즌2 / 15,000원 판매해요.","15,000",SOLD_OUT,중고나라 회원,False,False,이호두누낭,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589253,1107589253
미용_기타 미용용품,메디큐브 에이지알 콜라겐 부스터젤,"17,000",SALE,본인인증 회원,False,True,sh083,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588532,1107588532
미용_기타 미용용품,보습 탄력 크림,"30,000",SALE,본인인증 회원,False,True,봄이123,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588254,1107588254
