카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용_여성 기초화장품,헤라 블랙쿠션 21N1 본품 + 리필 새상품(리뉴얼 버전) 2세트 있어요.,"40,000",ESCROW,인증+안전거래 회원,True,True,집순이집사,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594698,1107594698
미용_여성 기초화장품,라운드랩 독도 클렌징 밤 100ml,"3,000",SALE,본인인증 회원,False,True,중중중고고나나라라라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594675,1107594675
미용_여성 기초화장품,마녀공장 판테토인 크림,"15,000",SALE,본인인증 회원,False,True,쿨거래선호쿨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594644,1107594644
미용_여성 기초화장품,새상품) 이니스프리 노세범 선크림 60ml,"9,000",SALE,본인인증 회원,False,True,꾸뀨s,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594587,1107594587
미용_여성 기초화장품,[초저가]설화수샘플 자음생세럼샘플 윤조에센스샘플 브라이트닝 타임레스폰스리저브세럼 아이크림 진설세럼샘플 설화수윤조에센스샘플 더후샘플 비첩자생에센스샘플 화현에센스 레티놀세럼 오휘샘플 숨37샘플 숨샘플,"2,000",ESCROW,◆셀러회원◆,True,True,찹찹탄력,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594386,1107594386
미용_여성 기초화장품,"YBK 클렌징폼,앰플,패드","3,000",SALE,본인인증 회원,False,True,중중중고고나나라라라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594345,1107594345
미용_여성 기초화장품,비플레인 녹두 모공 클리어링 라하 토너 265ml,"7,000",SALE,본인인증 회원,False,True,중중중고고나나라라라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594142,1107594142
미용_여성 기초화장품,새상품) 레이어랩 비타민c 세럼,"27,000",SALE,본인인증 회원,False,True,rosiepark978,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593844,1107593844
미용_여성 기초화장품,프리메라 비타티놀 세럼 저렴하게 팝니다,"12,345",SALE,중고나라 회원,False,True,lesles6666,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593722,1107593722
미용_여성 기초화장품,랑콤 선크림 저렴하게 팝니다,"12,345",SALE,중고나라 회원,False,True,lesles6666,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593714,1107593714
미용_여성 기초화장품,메디힐  흔적 패드 리필 저렴하게 팝니다,"12,345",SALE,중고나라 회원,False,True,lesles6666,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593706,1107593706
미용_여성 기초화장품,릴리이브 그로우턴 앰플 저렴하게 팝니다,"12,345",SALE,중고나라 회원,False,True,lesles6666,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593697,1107593697
