카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물_미용/케어 용품,에이플러스 애견 드라이기 스탠드 판매 APST2031,"170,000",SALE,중고나라 회원,False,True,냥멍뭉이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697207,1107697207
반려동물_미용/케어 용품,강아지 샴푸 거품형 무스타입 새제품,"10,000",SALE,중고나라 회원,False,True,도도썸,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696233,1107696233
반려동물_미용/케어 용품,덴티멀 더블액션 반려동물 바르는 치약 치석제거,"5,000",ESCROW,본인인증 회원,True,True,달래아씨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691802,1107691802
반려동물_미용/케어 용품,에이플러스 애견 드라이기,"190,000",SOLD_OUT,중고나라 회원,False,False,또3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690755,1107690755
반려동물_미용/케어 용품,붐펫 단델리온 펫드라이룸 판매(직거래)(경기 부천-장소 협의 가능),"380,000",SOLD_OUT,본인인증 회원,True,False,나랑체코가자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689868,1107689868
반려동물_미용/케어 용품,(미개봉/새상품)아이그룸 매직 데 탕글러 컨디셔닝 스프레이,"30,000",SOLD_OUT,본인인증 회원,False,False,양이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685724,1107685724
반려동물_미용/케어 용품,레디브 삼백초 풋케어 솔루션 무좀 무좀해결,"19,000",ESCROW,인증+안전거래 회원,True,True,하라주큐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675761,1107675761
반려동물_미용/케어 용품,[킴라베] 8.5F 날 3mm 교체날,"30,000",SALE,본인인증 회원,False,True,atahua21,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662489,1107662489
반려동물_미용/케어 용품,디어버즈 PE Pro 미개봉,"130,000",ESCROW,인증+안전거래 회원,True,True,지금이대로쭉쭉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107650589,1107650589
반려동물_미용/케어 용품,장영란  파비플로라 5박스,"80,000",SOLD_OUT,중고나라 회원,False,False,pmg110422,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107636457,1107636457
반려동물_미용/케어 용품,도지무라 뷸런트,"700,000",SALE,중고나라 회원,False,True,rlaaltnr0321,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107635010,1107635010
반려동물_미용/케어 용품,틱톡 라이트 신규이신분 삽니다 [8만원 입금] 내역⭕️,"80,000",SOLD_OUT,인증+안전거래 회원,True,False,친절한드워프,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633548,1107633548
반려동물_미용/케어 용품,고양이 화장실 캣아이디어 캣이어 지붕화장실 크림 XL 최상급!,"5,000",ESCROW,인증+안전거래 회원,True,True,마린희,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107629924,1107629924
반려동물_미용/케어 용품,펫트리움 쓱쓱 애견이발기 강아지 바리깡,"15,000",SALE,중고나라 회원,False,True,코코넬,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621284,1107621284
반려동물_미용/케어 용품,"사랑빗 (E2, E3) 반려동물 강아지 고양이 안아픈 빗 손상없는 브러쉬","12,000",SOLD_OUT,본인인증 회원,True,False,gjangza,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107610540,1107610540
반려동물_미용/케어 용품,닥터토루 프로토콜 aim,"25,000",ESCROW,본인인증 회원,True,True,솔,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107605348,1107605348
반려동물_미용/케어 용품,틱톡 라이트 신규이신분 삽니다 [8만원 입금] 내역⭕️,"80,000",SOLD_OUT,인증+안전거래 회원,True,False,친절한잠만보,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107597135,1107597135
