카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품_측정/계측/레벨,측량레벨기,"110,000",SALE,중고나라 회원,False,True,찬준이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585163,1107585163
산업용품_측정/계측/레벨,Fluke 289 멀티미터 중고 판매 (정품 프루브 포함 / Case Back 포함),"600,000",SALE,본인인증 회원,False,True,Meta7,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578082,1107578082
산업용품_측정/계측/레벨,TakedaRiken TR5212 (10Hz-18GHz Microwave Counter) 다케다리켄 마이크로웨이브 주파수카운터,"320,000",SALE,인증+안전거래 회원,False,True,a048007,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572281,1107572281
산업용품_측정/계측/레벨,최저가 슈퍼랙 조립식 창고 선반 앵글선반 철제선반 틈새선반 부품선반 중량랙 경량랙,"45,000",ESCROW,◆셀러회원◆,True,True,슈퍼랙,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107569374,1107569374
산업용품_측정/계측/레벨,야스카와 용접로봇,"500,000",SALE,본인인증 회원,False,True,const2013,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107568367,1107568367
산업용품_측정/계측/레벨,열화상 카메라 HIKMICRO B20 (와이파이 탑재) + B201 매크로 렌즈 55만원에 팝니다,"550,000",SALE,중고나라 회원,False,True,수행수행,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565792,1107565792
산업용품_측정/계측/레벨,실험실 교반기 Mini Mixer 판매합니다.,"70,000",SALE,본인인증 회원,False,True,영일0125,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563162,1107563162
산업용품_측정/계측/레벨,산업용 초음파 가습기(4구) 판매합니다.,"400,000",SALE,본인인증 회원,False,True,영일0125,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563128,1107563128
산업용품_측정/계측/레벨,SPL cell culture flask 팝니다.,"100,000",SALE,본인인증 회원,False,True,영일0125,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563094,1107563094
산업용품_측정/계측/레벨,SPL 5ml snap tube 판매합니다.,"40,000",SALE,본인인증 회원,False,True,영일0125,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563065,1107563065
산업용품_측정/계측/레벨,AR측설이 가능한 코세코 GPS측량기 판매합니다,"2,000",SALE,중고나라 회원,False,True,zaq9611,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107561736,1107561736
산업용품_측정/계측/레벨,RIDEN RD6018 USB 와이파이 DC-DC 전압 스텝 다운 전원 공급 장치 모듈 벅 컨버터 전압계,"90,000",SALE,본인인증 회원,False,True,때 됐다 밥먹자,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107561336,1107561336
