카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
상품권/티켓/쿠폰_기타/스포츠티켓,6/8 기아타이거즈 한화이글스,"160,000",SALE,중고나라 회원,False,True,뽀또치즈맛뽀또,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697530,1107697530
상품권/티켓/쿠폰_기타/스포츠티켓,[ 6/11 한화 이글스 vs 두산 베어스 중앙지정석 100B블록 통로석 2연석 4연석 양도 ],"2,000",ESCROW,중고나라 회원,True,True,스노우야구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697493,1107697493
상품권/티켓/쿠폰_기타/스포츠티켓,[ 6/11 LG 트윈스 vs SSG 랜더스 1루 레드석 104구역 통로석 4연석 양도 ],"2,000",ESCROW,중고나라 회원,True,True,스노우야구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697473,1107697473
상품권/티켓/쿠폰_기타/스포츠티켓,[프로야구] 6/7(토) 기아 vs 한화 외야자유석 2 OR 4 OR 6 OR 8연석 양도합니다.,"2,000",ESCROW,본인인증 회원,True,True,철들지말자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697461,1107697461
상품권/티켓/쿠폰_기타/스포츠티켓,"[6월8일] 잠실, 롯데 두산 3루 블루석 4연석 양도","2,000",SOLD_OUT,인증+안전거래 회원,True,False,wilCrowe,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697407,1107697407
상품권/티켓/쿠폰_기타/스포츠티켓,"6/7잠실(롯데,두산)3루외야지정석 417블럭 2연석  양도합니다.","2,000",SOLD_OUT,인증+안전거래 회원,True,False,qldhsmsskf,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697175,1107697175
상품권/티켓/쿠폰_기타/스포츠티켓,기아타이거즈  기아vs한화 6/6 금요일 k9 113통로 2인,"2,000",SOLD_OUT,본인인증 회원,False,False,beutiful0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697110,1107697110
상품권/티켓/쿠폰_기타/스포츠티켓,12일(목) 한화이글스 두산베어스 1루 내야지정석 연석 양도,"2,222",SALE,인증+안전거래 회원,False,True,신뢰전문1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696907,1107696907
상품권/티켓/쿠폰_기타/스포츠티켓,6월 7일 두산 롯데 잠실야구장 2장 팝니다,"15,000",ESCROW,본인인증 회원,True,True,DP2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696712,1107696712
상품권/티켓/쿠폰_기타/스포츠티켓,싸이 흠뻑쇼 8/2 토 양도합니다,"250,000",ESCROW,중고나라 회원,True,True,hoshi탐탐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696487,1107696487
