카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
상품권/티켓/쿠폰_모바일상품권/쿠폰,티빙 1일 하루 24시간 대여 700원,"2,222",SOLD_OUT,본인인증 회원,False,False,냥냥vv1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594630,1107594630
상품권/티켓/쿠폰_모바일상품권/쿠폰,크림 대리구매 구합니다 93%,"93,000",SALE,본인인증 회원,False,True,대대리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594611,1107594611
상품권/티켓/쿠폰_모바일상품권/쿠폰,93%!! 크림 대리구매 크림대리 결제 구합니다 !,"93,000",SALE,본인인증 회원,False,True,대대리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594574,1107594574
상품권/티켓/쿠폰_모바일상품권/쿠폰,캐리배안베이6월15일쟈 성인 3장 9만원,"90,000",SALE,중고나라 회원,False,True,코끼리바지,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594532,1107594532
상품권/티켓/쿠폰_모바일상품권/쿠폰,"<통로석>6월14일 366일 무대인사 아카소 에이지 A열~ 통로석,단석,2연석 무인 양도 코엑스 홍대","2,000",SALE,중고나라 회원,False,True,무인양도무인,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594456,1107594456
상품권/티켓/쿠폰_모바일상품권/쿠폰,메랜 물통 팝니다!,"18,000",SALE,본인인증 회원,False,True,sk991,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594439,1107594439
상품권/티켓/쿠폰_모바일상품권/쿠폰,SKT VIP 롯데면세점 15$ 쿠폰 판매해요.,"4,000",SOLD_OUT,중고나라 회원,False,False,wlsgmlrnfk,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594416,1107594416
상품권/티켓/쿠폰_모바일상품권/쿠폰,6/7 토요일 롯데월드 매직패스 5/7회권,"74,000",ESCROW,중고나라 회원,True,True,빵빵이뿡,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594337,1107594337
상품권/티켓/쿠폰_모바일상품권/쿠폰,에버랜드 6/7 스페셜 사파리투어 구합니다,"10,000",SALE,중고나라 회원,False,True,sinan3626,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594262,1107594262
상품권/티켓/쿠폰_모바일상품권/쿠폰,할리스 바닐라 딜라이트 <총 1매> (1매당 4900원) ~6.30,"4,900",SALE,중고나라 회원,False,True,당근이적생,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594249,1107594249
