카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_농구용품/의류,조던11 레전드블루 2024년,"230,000",ESCROW,인증+안전거래 회원,True,True,popozizi,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693117,1107693117
스포츠/레저_농구용품/의류,[280~285] 나이키 야니스프릭6 KD15 농구화 윌슨 퓨어샷 농구공 팝니다.(판매중),"2,000",SALE,본인인증 회원,False,True,8BLACKMAMBA24,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692383,1107692383
스포츠/레저_농구용품/의류,"[265,275] 나이키 GT CUT 지티컷 암예방 미시착 새제품 택포","339,000",SALE,본인인증 회원,False,True,하사아타,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690970,1107690970
스포츠/레저_농구용품/의류,조던35 로우 pf 275 농구화,"110,000",SALE,본인인증 회원,False,True,s나이스짱s,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688646,1107688646
스포츠/레저_농구용품/의류,조던34 로우 pf 275 새제품 농구화,"110,000",SALE,본인인증 회원,False,True,s나이스짱s,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688618,1107688618
스포츠/레저_농구용품/의류,[285] 르브론21 새제품 택포,"110,000",SALE,본인인증 회원,False,True,참살이장터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686642,1107686642
스포츠/레저_농구용품/의류,[255] 조지타운 11 로우,"90,000",SALE,중고나라 회원,False,True,오크리사고싶어요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683563,1107683563
스포츠/레저_농구용품/의류,조던 37ㅡ290,"80,000",ESCROW,중고나라 회원,True,True,wjsxodud00,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677525,1107677525
스포츠/레저_농구용품/의류,[팝니다] 아디다스 ZX 2K 부스트,"65,000",SALE,본인인증 회원,False,True,tosky7,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674995,1107674995
스포츠/레저_농구용품/의류,나이키 북1 할로윈 300사이즈,"60,000",SALE,본인인증 회원,False,True,구달,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673182,1107673182
스포츠/레저_농구용품/의류,4xl 나이키 조던 psg 파리생제르망 패딩 자켓,"150,000",SALE,인증+안전거래 회원,False,True,림림메,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107666695,1107666695
스포츠/레저_농구용품/의류,(Almost New) 카이리4 EP 할로윈 285 박풀,"160,000",ESCROW,중고나라 회원,True,True,멘탈마스터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107665878,1107665878
스포츠/레저_농구용품/의류,나이키 에어줌GT 275사이즈 판매,"150,000",SOLD_OUT,본인인증 회원,False,False,브레이커Y,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663829,1107663829
