카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_스키/보드/의류,언더아머) 사이즈100 + 패딩 점퍼 자켓,"2,222",SALE,본인인증 회원,False,True,fefez,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590020,1107590020
스포츠/레저_스키/보드/의류,퀸(QUIN) 롱보드,"130,000",SOLD_OUT,본인인증 회원,False,False,Annyyyy,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588887,1107588887
스포츠/레저_스키/보드/의류,헬멧,"15,000",SALE,중고나라 회원,False,True,jso110201,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586610,1107586610
스포츠/레저_스키/보드/의류,"플럭스 XV (xs) , 유니버셜 칸트","190,000",SALE,본인인증 회원,False,True,너를쏴라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585782,1107585782
스포츠/레저_스키/보드/의류,스노우보드 해머데크 노빌레 1718 N8 / 인사노 부츠 같이 팝니다,"440,000",SALE,중고나라 회원,False,True,한월84,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585170,1107585170
스포츠/레저_스키/보드/의류,여자 막데크 145,"70,000",SALE,본인인증 회원,False,True,Ladest,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578545,1107578545
스포츠/레저_스키/보드/의류,파타고니아 후리스 LX 팝니다.,"105,000",SALE,본인인증 회원,False,True,anaconda,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578494,1107578494
스포츠/레저_스키/보드/의류,2425 요넥스 시막 노말 160,"850,000",ESCROW,본인인증 회원,True,True,NOHOW,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572111,1107572111
스포츠/레저_스키/보드/의류,2425 라이드 데드볼트 260,"250,000",SALE,본인인증 회원,False,True,NOHOW,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572045,1107572045
스포츠/레저_스키/보드/의류,"2324 블렌트 스노우보드복 셋트 + 비니, 바라클라바","130,000",ESCROW,본인인증 회원,True,True,NOHOW,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571935,1107571935
스포츠/레저_스키/보드/의류,"보드, 스케이트보드, 롱보드","5,000",SALE,중고나라 회원,False,True,bigppl,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565390,1107565390
스포츠/레저_스키/보드/의류,로닉스 rxt바인딩 새상품 팝니다.,"650,000",SALE,중고나라 회원,False,True,후니훈007,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565125,1107565125
스포츠/레저_스키/보드/의류,리퀴드포스 왓슨 139데크+왓슨바인딩(6-8)250~260팝니다-웨이크보드세트 팝니다-,"50,000",RESERVATION,중고나라 회원,False,True,젯프로,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564028,1107564028
스포츠/레저_스키/보드/의류,크랩그랩 스텀패드,"3,000",SOLD_OUT,본인인증 회원,False,False,누디ㅋ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563575,1107563575
스포츠/레저_스키/보드/의류,스키가방 판매합니다 45L .,"60,000",SALE,본인인증 회원,False,True,깜찍한퐝규ㅋ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107561667,1107561667
스포츠/레저_스키/보드/의류,686 GLCR 보드복 자켓 L 사이즈(105) 팔아요~~,"90,000",SALE,본인인증 회원,False,True,Cookk,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107560947,1107560947
스포츠/레저_스키/보드/의류,2425 버튼 커스텀X (158) + 카르텔 X 바인딩 팝니다.,"900,000",SALE,중고나라 회원,False,True,ltj6802,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107560608,1107560608
스포츠/레저_스키/보드/의류,2122 도넥 햄클라인,"300,000",SALE,중고나라 회원,False,True,진꼬리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107559167,1107559167
스포츠/레저_스키/보드/의류,1617 FLUX XF S 사이즈 판매합니다,"100,000",ESCROW,본인인증 회원,True,True,Ddirori,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107556984,1107556984
스포츠/레저_스키/보드/의류,모모디자인 스키 바이저 헬맷 L,"50,000",SALE,중고나라 회원,False,True,횽권,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107555502,1107555502
스포츠/레저_스키/보드/의류,1920 스미스 4D MAC 판매합니다,"100,000",SALE,본인인증 회원,False,True,Ddirori,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107547374,1107547374
스포츠/레저_스키/보드/의류,"스키,스노우보드 가방 4가지 색상 미사용","90,000",ESCROW,인증+안전거래 회원,True,True,jshjeh12,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107543556,1107543556
스포츠/레저_스키/보드/의류,"스키,스노우보드 가방 4가지 색상 미사용","90,000",ESCROW,인증+안전거래 회원,True,True,jshjeh12,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107543536,1107543536
스포츠/레저_스키/보드/의류,노르디카 초등학생 아동 스키 부츠 1세트 판매,"260,000",ESCROW,본인인증 회원,True,True,카라멜,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107541860,1107541860
스포츠/레저_스키/보드/의류,"데페 우드, F2 월드컵, 플럭스 xf, 바인딩, ROME 바인딩 판매","150,000",SALE,중고나라 회원,False,True,호타라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107539923,1107539923
스포츠/레저_스키/보드/의류,버튼 스텝온 세트,"650,000",SOLD_OUT,본인인증 회원,False,False,리렁린,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107530339,1107530339
스포츠/레저_스키/보드/의류,K2 허리케인 바인딩 팝니다.,"50,000",SALE,중고나라 회원,False,True,HHI라이딩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107528051,1107528051
스포츠/레저_스키/보드/의류,오가사카 fcx 데크 팝니다.,"250,000",SALE,중고나라 회원,False,True,HHI라이딩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107527893,1107527893
스포츠/레저_스키/보드/의류,2025 신상 로닉스 원 레거시 코어 데크/ rtx boa 바인딩 팝니다 웨이크보드,"1,700,000",SOLD_OUT,인증+안전거래 회원,True,False,파괴왕2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107526321,1107526321
스포츠/레저_스키/보드/의류,unbind 언바인드 방수후드 XL,"25,000",SALE,중고나라 회원,False,True,아미st,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107524037,1107524037
스포츠/레저_스키/보드/의류,수상스키&서핑 슈트/수상스키용품,"100,000",ESCROW,중고나라 회원,True,True,펄여솨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107522113,1107522113
스포츠/레저_스키/보드/의류,2324 블렌트 보드복 세트 XL,"150,000",SALE,인증+안전거래 회원,False,True,화재빵빵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107518974,1107518974
스포츠/레저_스키/보드/의류,2122SP마운틴,"240,000",SALE,중고나라 회원,False,True,sheicas124,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107516682,1107516682
스포츠/레저_스키/보드/의류,[서울] 스노우 보드 22/23 아벨 원티 158 해머데크 판매,"750,000",SOLD_OUT,중고나라 회원,False,False,거북와,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107509763,1107509763
스포츠/레저_스키/보드/의류,1819 타입알 159 판매,"720,000",SALE,중고나라 회원,False,True,배고파용2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107501429,1107501429
스포츠/레저_스키/보드/의류,오클리 고글,"100,000",SOLD_OUT,본인인증 회원,False,False,뉴누,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107499198,1107499198
스포츠/레저_스키/보드/의류,23/24파워텍터 엉덩이보호대 미디움,"40,000",SOLD_OUT,본인인증 회원,True,False,레디우니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107495855,1107495855
스포츠/레저_스키/보드/의류,웨이크보드 서핑 슈트 팝니다,"100,000",SOLD_OUT,중고나라 회원,False,False,로닉스제품,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107493930,1107493930
스포츠/레저_스키/보드/의류,"노스페이스 평창 후리스 기모 집업 자켓 사이즈 남, 녀 90 판매합니다.","30,000",SALE,중고나라 회원,False,True,hym801004,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107493738,1107493738
스포츠/레저_스키/보드/의류,6. 평창 노스페이스 A급 스키복 팩백 가방 판매합니다.​​,"45,000",SALE,중고나라 회원,False,True,hym801004,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107493708,1107493708
