카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
여행/여가활동_여행가방/용품,LED 작업등,"10,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,쏘씨쏘시,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695928,1107695928
여행/여가활동_여행가방/용품,코오롱스포츠 ZEUS 25  배낭팝니다,"90,000",SALE,중고나라 회원,False,True,멍이냐옹,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694675,1107694675
여행/여가활동_여행가방/용품,리모와 오리지날 트렁크S 실버 팝니다,"1,850,000",SALE,중고나라 회원,False,True,오오이십오육욱삼십ㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694618,1107694618
여행/여가활동_여행가방/용품,2023 스타벅스 럭키백 가방만,"18,000",SALE,인증+안전거래 회원,False,True,정로꼬,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691884,1107691884
여행/여가활동_여행가방/용품,접이식 방석,"9,000",ESCROW,중고나라 회원,True,True,롤리1234,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684082,1107684082
여행/여가활동_여행가방/용품,"백스인백 폴딩 백팩 브라운 싸게 팝니다 (미개봉 새제품) 백팩, 초경량 파우치, 여행용 보조가방","34,000",SALE,중고나라 회원,False,True,동골팽이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683408,1107683408
여행/여가활동_여행가방/용품,키코 LED 캐리어 20인치,"698,000",SALE,중고나라 회원,False,True,LunaCieL,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683077,1107683077
여행/여가활동_여행가방/용품,벤츠 트롤리백 보스턴가방 캐리어 여행가방 골프백,"80,000",SALE,본인인증 회원,False,True,튼튼앤,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682217,1107682217
여행/여가활동_여행가방/용품,네셔널 캐리어 20인치 24인치,"130,000",SALE,중고나라 회원,False,True,smile_back,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680023,1107680023
여행/여가활동_여행가방/용품,여행용 미니 하드 캐리어파우치,"3,000",SALE,인증+안전거래 회원,False,True,문자 연락 주세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678394,1107678394
여행/여가활동_여행가방/용품,"에버랜드 로스트밸리 , 사파리 월드 , 발레파킹 팝니다","35,000",SOLD_OUT,중고나라 회원,False,False,we6af,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677488,1107677488
여행/여가활동_여행가방/용품,내셔널지오그래픽 카멜 캐리어 20인치 기내용 새제품,"120,000",ESCROW,인증+안전거래 회원,True,True,onnuriking,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677450,1107677450
여행/여가활동_여행가방/용품,엘르 패브릭 케리어 여행가방,"30,000",SALE,인증+안전거래 회원,False,True,aki0225,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676896,1107676896
여행/여가활동_여행가방/용품,알피쿨 디얼스 X30팝니다.,"200,000",SOLD_OUT,중고나라 회원,False,False,행쇼가자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673637,1107673637
여행/여가활동_여행가방/용품,세차 여행 가방 팝니다,"20,000",ESCROW,중고나라 회원,True,True,계란후라이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107665650,1107665650
여행/여가활동_여행가방/용품,포카리스웨트 레디백,"10,000",SALE,본인인증 회원,False,True,jeffrey k,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107664381,1107664381
여행/여가활동_여행가방/용품,"[특가 새상품] 20인치, 24인치, 28인치 알루미늄 프리미엄 모노 캐리어","65,000",SALE,본인인증 회원,False,True,맨코퍼레이션,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663688,1107663688
여행/여가활동_여행가방/용품,나이키 백팩 가방 새제품,"40,000",SALE,인증+안전거래 회원,False,True,가을비1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662728,1107662728
여행/여가활동_여행가방/용품,블랙브라이어 골드크롬 20L 일상용 백팩,"100,000",SALE,인증+안전거래 회원,False,True,REVENTA,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107661602,1107661602
여행/여가활동_여행가방/용품,접이식 이지폴드 캐리어 보스턴백 새상품,"9,000",SALE,중고나라 회원,False,True,자이언츠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107661324,1107661324
