카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
예술/수집_LP/CD/DVD,블루레이 판매합니다.,"12,345",SALE,본인인증 회원,False,True,ursprung,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594224,1107594224
예술/수집_LP/CD/DVD,카펜터스 Carpenters 1973년 일본초판 엘피 LP,"15,000",SALE,중고나라 회원,False,True,카르페12,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593468,1107593468
예술/수집_LP/CD/DVD,영탁 정규 1집 앨범 MMM 판매,"4,000",SALE,본인인증 회원,False,True,파란큐,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593451,1107593451
예술/수집_LP/CD/DVD,"이찬원 정규 1집 앨범 ONE 판매(핑크, 브라운)","4,000",SALE,본인인증 회원,False,True,파란큐,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593408,1107593408
예술/수집_LP/CD/DVD,장동건 LP,"20,000",SALE,본인인증 회원,False,True,올드보이 LP,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593338,1107593338
예술/수집_LP/CD/DVD,코코 CoCo はんぶん不思議 8cm 싱글 CD 미개봉 신품,"28,000",ESCROW,인증+안전거래 회원,True,True,일본음반샵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593307,1107593307
예술/수집_LP/CD/DVD,왕가위 택동30주년CD 중경삼림 2046 동사서독 화양연화 해피투게더,"200,000",SALE,중고나라 회원,False,True,꼭쥐스,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593268,1107593268
예술/수집_LP/CD/DVD,클래식 라이센스 LP 일괄판매,"160,000",SALE,중고나라 회원,False,True,정재하시험,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593112,1107593112
예술/수집_LP/CD/DVD,시노하라 료코 篠原涼子 with t.komuro 恋しさと せつなさと 心強さと (스트리트 파이터 2) 8cm 싱글 CD,"19,000",ESCROW,인증+안전거래 회원,True,True,일본음반샵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593071,1107593071
예술/수집_LP/CD/DVD,뮤지컬 ost 연뮤 증정,"10,000",SALE,본인인증 회원,False,True,ㅎ어러ㅑㄹ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592856,1107592856
예술/수집_LP/CD/DVD,엔도 마사아키 遠藤正明 용자왕 가오가이가 勇者王ガオガイガー 勇者王誕生! / いつか星の海で 8cm 싱글 CD,"28,000",ESCROW,인증+안전거래 회원,True,True,일본음반샵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592788,1107592788
예술/수집_LP/CD/DVD,그 남자 그 여자의 사정 彼氏彼女の事情 OST ACT 1.0 CD,"65,000",ESCROW,인증+안전거래 회원,True,True,일본음반샵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592441,1107592441
예술/수집_LP/CD/DVD,나카모리 아키나 中森明菜 BEST AKINA メモワール 카세트 테이프,"66,000",SOLD_OUT,인증+안전거래 회원,True,False,일본음반샵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592380,1107592380
예술/수집_LP/CD/DVD,미개봉 특전판 [4K 블루레이] 모가디슈 : 스틸북 컬렉터스 에디션(친필 싸인 엽서 수록),"135,000",SALE,인증+안전거래 회원,False,True,인정머리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592011,1107592011
예술/수집_LP/CD/DVD,떨이 대폭할인 대량정리 ) 국내 가수 아이돌 스페셜 한정 앨범 CD 모음,"5,000",SOLD_OUT,중고나라 회원,True,False,나혼자여행,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591792,1107591792
예술/수집_LP/CD/DVD,"드씨 레인보우 시티, 펄 판매합니다","100,000",ESCROW,인증+안전거래 회원,True,True,말랑소금빵,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590852,1107590852
예술/수집_LP/CD/DVD,허회경 LP 미개봉,"100,000",SALE,중고나라 회원,False,True,쀵쀵뾩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589947,1107589947
예술/수집_LP/CD/DVD,"1997년,해패투게더, 장국영,왕가위감독,양조위,주윤발,홍콩배우","48,000",ESCROW,인증+안전거래 회원,True,True,gorgorlove09,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588837,1107588837
예술/수집_LP/CD/DVD,엠씨더맥스 이수 1집,"10,000",ESCROW,중고나라 회원,True,True,1998again,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588645,1107588645
예술/수집_LP/CD/DVD,박효신 1집 초판 개봉 팝니다,"180,000",SALE,중고나라 회원,False,True,킬리안음바페,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587537,1107587537
예술/수집_LP/CD/DVD,"LP Suzane Jacks 수잔 잭스 - Evergreen 수록된 TV 영상 팝스 모음집, MBC 드라마 아들과 딸 삽입곡","40,000",SALE,중고나라 회원,False,True,Crimsonclub,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587367,1107587367
예술/수집_LP/CD/DVD,LP - 록 메탈 기타리스트 모음집 GUITAR'S PRACTICING MUSICIANS 1 & 2,"100,000",SALE,중고나라 회원,False,True,Crimsonclub,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587331,1107587331
예술/수집_LP/CD/DVD,LP - METALLICA 4 엘피,"190,000",SALE,중고나라 회원,False,True,Crimsonclub,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587311,1107587311
예술/수집_LP/CD/DVD,"LP - 디즈니 인어공주 Little Mermaid, 미녀와 야수 Beauty and the Beast","80,000",SALE,중고나라 회원,False,True,Crimsonclub,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587291,1107587291
예술/수집_LP/CD/DVD,세일러문 30주년 기념 lp 미개봉,"58,000",SALE,중고나라 회원,False,True,mmj471,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586799,1107586799
예술/수집_LP/CD/DVD,구해요) 러브홀릭3집 카세트 테이프 구해요,"2,000",SALE,본인인증 회원,False,True,From Mark,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586557,1107586557
예술/수집_LP/CD/DVD,드라마CD 귀태 아코 예약판 1+2 팝니다.,"70,000",SALE,중고나라 회원,False,True,해피공원,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586509,1107586509
예술/수집_LP/CD/DVD,아이즈원 굳즈 일괄판매,"99,999,999",SOLD_OUT,중고나라 회원,False,False,힘쑈,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586248,1107586248
예술/수집_LP/CD/DVD,아이즈원 굳즈 일괄 판매,"250,000",SOLD_OUT,중고나라 회원,False,False,힘쑈,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586236,1107586236
