카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
오토바이_기타 오토바이 용품,2021년식 호야마린 ATV 바이크 운송 평판 트레일러,"12,345",RESERVATION_ESCROW,인증+안전거래 회원,True,True,이트123,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693275,1107693275
오토바이_기타 오토바이 용품,명함 슈팅기 분배기 as 아는곳,"10,000",SALE,중고나라 회원,False,True,우나이냐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691066,1107691066
오토바이_기타 오토바이 용품,알루미늄 오토바이 후면 수화물 탑박스 오토바이 트렁크(새상품),"90,000",SALE,중고나라 회원,False,True,달달쑈콜라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687948,1107687948
오토바이_기타 오토바이 용품,라이더 용품정리 -대품가능-,"250,000",ESCROW,중고나라 회원,True,True,라이더대통령,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686515,1107686515
오토바이_기타 오토바이 용품,2020 S1000XR 용 아크라 매니폴더 파이프,"1,000,000",ESCROW,중고나라 회원,True,True,죽통,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680517,1107680517
오토바이_기타 오토바이 용품,신차 내리고 500키로 탄 2019 스즈키 R1000 R 엔진 판매합니다.,"7,500,000",ESCROW,중고나라 회원,True,True,죽통,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680435,1107680435
오토바이_기타 오토바이 용품,레빗 이클립스2 그레이 매쉬 라이딩 자켓 M + 등보호대 판매합니다.,"180,000",SOLD_OUT,인증+안전거래 회원,False,False,ssl213,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674793,1107674793
오토바이_기타 오토바이 용품,인천)아라이램 풀파츠 팝니다 vzram,"450,000",ESCROW,중고나라 회원,True,True,POINT,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644673,1107644673
오토바이_기타 오토바이 용품,쇼에이.z-8 tc-10. 사이즈M팝니다,"400,000",ESCROW,중고나라 회원,True,True,POINT,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107644643,1107644643
오토바이_기타 오토바이 용품,"리퀴몰리 바이크 엔진세척제, 오일첨가제 일괄","20,000",SALE,본인인증 회원,False,True,yoon1623,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107636635,1107636635
