카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자동차 용품_기타/차량부품,LED전조등 D1S타입 판매합니다!,"35,000",SALE,본인인증 회원,False,True,gnomlove1486,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697523,1107697523
자동차 용품_기타/차량부품,2013년 투싼계기판,"20,000",ESCROW,중고나라 회원,True,True,용인넘버3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697487,1107697487
자동차 용품_기타/차량부품,올란도 차차차 초저상 가로바 판매 가격다운 15만,"150,000",SALE,본인인증 회원,False,True,진성콜때기,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697453,1107697453
자동차 용품_기타/차량부품,페라리 자동차 시거 충전잭 usb,"50,000",SALE,중고나라 회원,False,True,party7977,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697091,1107697091
자동차 용품_기타/차량부품,프로펠라샤프트 / 커플링 앗세이-루버(COUPLING ASSY-RUBBER) 부품번호:491303M000 / 일명 /   연탄/제네시스/K9 호환,"100,000",ESCROW,중고나라 회원,True,True,별들달,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696991,1107696991
자동차 용품_기타/차량부품,벤츠 차 키,"43,000",SOLD_OUT,본인인증 회원,True,False,ehddhak1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696953,1107696953
자동차 용품_기타/차량부품,다이너스티 파워티알,"100,000",ESCROW,중고나라 회원,True,True,스틱매니아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696606,1107696606
자동차 용품_기타/차량부품,"벤틀리 플라잉스퍼, 컨티넨탈GT 앞 브레이크패드 팝니다.","250,000",SALE,중고나라 회원,False,True,사랑이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696499,1107696499
자동차 용품_기타/차량부품,20인치 쏘렌토MQ4 올뉴쏘렌토R 더뉴쏘렌토R 올뉴카니발 더뉴카니발 카니발KA4 더뉴스포티지R 스포티지NQ5,"360,000",SALE,중고나라 회원,False,True,놀라운대전사람,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696479,1107696479
자동차 용품_기타/차량부품,18인치 PCD112 폭스바겐 CC 골프 제타 파사트 iD4,"400,000",SALE,중고나라 회원,False,True,놀라운대전사람,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696375,1107696375
자동차 용품_기타/차량부품,BMW 키케이스 판매합니다.,"40,000",SALE,본인인증 회원,False,True,jyh0433,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696349,1107696349
자동차 용품_기타/차량부품,19인치 아우디A6스포츠 S라인 4.0 차량 순정휠 A4 A5 A7 가능합니다.,"600,000",SALE,중고나라 회원,False,True,비상TV,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696251,1107696251
자동차 용품_기타/차량부품,에쿠스 앞바퀴 순정 쇼바스프링 팝니다,"75,000",SALE,본인인증 회원,False,True,대물황제,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695846,1107695846
자동차 용품_기타/차량부품,아반떼Cn7 노말 제이커스텀 바디킬,"350,000",SALE,본인인증 회원,False,True,프으잉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695187,1107695187
자동차 용품_기타/차량부품,밴딕트 마하1 에어건 (청소기노즐 포함),"50,000",SOLD_OUT,본인인증 회원,False,False,Todayss,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694854,1107694854
자동차 용품_기타/차량부품,SSF 어드반레이싱 st 19인치 휠 :: 싼타페DM 싼타페TM 싼타페MX5 팰리세이드 맥스크루즈 베라크루즈 카니발KA4 쏘렌토R 쏘렌토MQ4 스포티지QL NQ5 EV5 EV6-GT 올뉴카니발 더뉴카니발 쏘렌토R 니로 셀토스 코나 NF소,"400,000",SALE,중고나라 회원,False,True,비상TV,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694726,1107694726
자동차 용품_기타/차량부품,245-45-20 255-45-20 205-65-16 225-50-17 235-55-19 225-40-19 타이어 팔아요~~~ 모하비 투싼TL 300C 싼타페TM 싼타페DM 맥스크루즈 베라크루즈 팰리세이드 펠리세이드 타이어~~~,"100,000",SALE,중고나라 회원,False,True,rojiji099,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694588,1107694588
자동차 용품_기타/차량부품,W219 CLS500 배기 사이드미러,"550,000",ESCROW,중고나라 회원,True,True,hamani,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693382,1107693382
