카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자동차 용품_휠/타이어/캐리어,bmw 373m 20인치 고스트크롬 순정 휠 급처!,"650,000",SOLD_OUT,중고나라 회원,True,False,park88v,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594331,1107594331
자동차 용품_휠/타이어/캐리어,[울산]MX5 싼타페 20인치 순정 휠 팝니다.,"520,000",RESERVATION,본인인증 회원,False,True,100Ground,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594036,1107594036
자동차 용품_휠/타이어/캐리어,아반떼cn7,"17,500,000",ESCROW,중고나라 회원,True,True,dalboung8234,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593314,1107593314
자동차 용품_휠/타이어/캐리어,(판매)벤츠 W223 S클래스 S580 20인치 순정휠 무기스 200만 대전,"2,000,000",SALE,◆셀러회원◆,False,True,휠제이6,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593057,1107593057
자동차 용품_휠/타이어/캐리어,호무라 22인치 9J38,"12,345,678",SOLD_OUT,중고나라 회원,False,False,용인사람임돠,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592893,1107592893
자동차 용품_휠/타이어/캐리어,툴레 윙바 기아 K7 2010~ 가로바 1638키트,"160,000",SOLD_OUT,인증+안전거래 회원,False,False,스프러스,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592885,1107592885
자동차 용품_휠/타이어/캐리어,카니발 ka4 올댓 ex-change 루프박스 양문형,"1,300,000",RESERVATION_ESCROW,중고나라 회원,True,True,마루치00,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592331,1107592331
자동차 용품_휠/타이어/캐리어,[이벤트]피렐리피제로PZ4(NFO)265 35R 21 2본 신품타이어세일판매,"850,000",ESCROW,◆셀러회원◆,True,True,이타이어,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592273,1107592273
자동차 용품_휠/타이어/캐리어,[가격재수정] 2018년식 렉스턴 스포츠 순정 20인치 ( 휠+타이어=24년 생산분) 세트 4개 묶음 팝니다,"600,000",SOLD_OUT,중고나라 회원,True,False,mahanaimlife,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592259,1107592259
자동차 용품_휠/타이어/캐리어,싼타페 dm 6p,"500,000",ESCROW,중고나라 회원,True,True,나라니홍,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591997,1107591997
