카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_MTB/사이클,비앙키 아리아 디스크 울테그라11단 E로드 47사이즈,"4,500,000",ESCROW,본인인증 회원,True,True,포터폴리오,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594472,1107594472
자전거_MTB/사이클,메리다 스컬트라 400 디스크 판매합니다 네고 가능,"800,000",SOLD_OUT,인증+안전거래 회원,False,False,나는배짱이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593848,1107593848
자전거_MTB/사이클,비전 메트론 6d 핸들바 스페이서 구합니다.,"123,456",SOLD_OUT,본인인증 회원,False,False,지오스토리노,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593470,1107593470
자전거_MTB/사이클,첼로불렛 FX80 전기자전거,"2,800,000",ESCROW,중고나라 회원,True,True,cydercola,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593171,1107593171
자전거_MTB/사이클,"비토리아 코르사 그래핀 G2.0 클린처 타이어 23C,25C 블랙","999,999",SALE,본인인증 회원,False,True,코르타,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593067,1107593067
자전거_MTB/사이클,비토리아 코르사 그래핀 G2.0 클린처 타이어 검월 28C,"120,000",SALE,본인인증 회원,False,True,코르타,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593044,1107593044
자전거_MTB/사이클,바쏘 디아만테 51사이즈 림브 프레임 세트,"999,999",ESCROW,중고나라 회원,True,True,김주형 서울,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591887,1107591887
자전거_MTB/사이클,(전기자전거)스캇지니어스920 e-mtb 판매합니다.,"2,600,000",SALE,중고나라 회원,False,True,내가왕1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591263,1107591263
자전거_MTB/사이클,엔비 ses 7.8 림브 클린처,"1,450,000",SALE,본인인증 회원,False,True,galaxyforyou,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590649,1107590649
자전거_MTB/사이클,비앙키 듀엘24 어린이자전거,"270,000",SALE,인증+안전거래 회원,False,True,강강수우,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590528,1107590528
자전거_MTB/사이클,메리다 스컬트라100 로드 자전거 판매,"550,000",SALE,본인인증 회원,False,True,도리도리ㅇㅇ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589658,1107589658
자전거_MTB/사이클,도그마 F12 515 BOB,"8,100,000",SALE,본인인증 회원,False,True,beop z,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588751,1107588751
자전거_MTB/사이클,"bmc impec 임팩 53사이즈 완차 반차 판매합니다. 
림브 로드 비엠씨","3,700,000",SALE,중고나라 회원,False,True,물금라이더,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588704,1107588704
자전거_MTB/사이클,에몬다 slr 52사이즈 판매/대차 봅니다,"6,000,000",SOLD_OUT,본인인증 회원,True,False,qjawls587,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587991,1107587991
자전거_MTB/사이클,자이언트 TCR 어드밴스 PRO TEAM 썬웹 사이즈S 상태S급 판매합니다,"2,200,000",ESCROW,본인인증 회원,True,True,애물단지,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585851,1107585851
자전거_MTB/사이클,"리자인 전조등(2개 40,000원)","25,000",SOLD_OUT,중고나라 회원,False,False,와일드,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585310,1107585310
자전거_MTB/사이클,울테그라 11-28 스프라켓,"50,000",SOLD_OUT,중고나라 회원,False,False,와일드,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585280,1107585280
자전거_MTB/사이클,휠랩 답 (림),"1,500,000",SOLD_OUT,중고나라 회원,False,False,와일드,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585247,1107585247
자전거_MTB/사이클,젯블랙 빅토리 스마트로라 판매합니다,"650,000",ESCROW,본인인증 회원,True,True,움라쿠데,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584564,1107584564
자전거_MTB/사이클,2022자이언트 scr2 팝니다(xs사이즈/Copper색상),"450,000",SOLD_OUT,중고나라 회원,False,False,PT 김태현,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583881,1107583881
자전거_MTB/사이클,비앙키 스페셜리시마 판매합니다,"8,500,000",SALE,본인인증 회원,False,True,minsik1989,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583810,1107583810
자전거_MTB/사이클,스램 165레드크랭크암,"450,000",SOLD_OUT,본인인증 회원,True,False,didwodud1000,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583432,1107583432
자전거_MTB/사이클,엘파마 에포카 E2000D 펄레드판매,"850,000",SOLD_OUT,본인인증 회원,False,False,다입,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581837,1107581837
자전거_MTB/사이클,스페셜라이즈드 스텀 점퍼 FSR(풀샥) 2011년식,"980,000",SALE,본인인증 회원,False,True,Dpf포집량,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107580451,1107580451
자전거_MTB/사이클,에스웍스 타막 sl5 오메가 파르마 퀵스텝 팀카 58 사이즈 + 와후 볼트2,"3,200,000",ESCROW,본인인증 회원,True,True,이씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107580041,1107580041
자전거_MTB/사이클,Ryet 3d 시마노형,"33,000",SOLD_OUT,본인인증 회원,False,False,junsei1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579223,1107579223
자전거_MTB/사이클,자이언트 신형 케이덱스 XDR 12s 프리 바디 킷(slr1 50mm 호환),"80,000",ESCROW,본인인증 회원,True,True,가나다,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579066,1107579066
자전거_MTB/사이클,ryet 3d 카본 안장,"55,000",SOLD_OUT,본인인증 회원,False,False,junsei1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579056,1107579056
자전거_MTB/사이클,BMC 팀머신 SLR ONE,"3,800,000",SALE,본인인증 회원,False,True,CG마켓,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578918,1107578918
자전거_MTB/사이클,라파 프로팀 트레이닝 자켓 기모 X-Large,"100,000",SALE,본인인증 회원,False,True,떠오르는바다,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578448,1107578448
자전거_MTB/사이클,2017메리다 빅세븐XTR 카본MTB 팝니다,"2,000,000",SALE,중고나라 회원,False,True,행복하자7777777,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578309,1107578309
자전거_MTB/사이클,라파 × 파타 Patta 프로팀 져지 + 빕 + 양말 set,"750,000",SOLD_OUT,인증+안전거래 회원,True,False,다팔거야아,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578128,1107578128
자전거_MTB/사이클,Roval Rapide Cockpit 스페셜라이즈드 로발 래피드 콕핏 일체형 핸들바,"620,000",SOLD_OUT,본인인증 회원,False,False,강냉구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577614,1107577614
자전거_MTB/사이클,트렉 도마니al3,"750,000",SOLD_OUT,본인인증 회원,False,False,한수,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576614,1107576614
자전거_MTB/사이클,자이언트터프로드gx slr1,"750,000",SALE,본인인증 회원,False,True,한수,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576321,1107576321
자전거_MTB/사이클,자이언트 프로펠 어드밴스 0 / 2023 이후 모델 구매 원합니다. (xs),"9,999,999",ESCROW,중고나라 회원,True,True,성급한까칠이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575480,1107575480
자전거_MTB/사이클,트렉 레일 9.8 630km 주행 24년 7월 구입,"7,500,000",ESCROW,본인인증 회원,True,True,nanom,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575067,1107575067
자전거_MTB/사이클,트렉 도마니 Trek Domane AL3 2023년식 로드자전거 [52],"920,000",ESCROW,인증+안전거래 회원,True,True,j12382,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574873,1107574873
자전거_MTB/사이클,[새상품] 에스웍 토치 화이트 클릿 슈즈 EU 42.5,"390,000",SALE,중고나라 회원,False,True,라이더2018,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574660,1107574660
자전거_MTB/사이클,여아 자전거,"70,000",SOLD_OUT,본인인증 회원,True,False,kkang,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573929,1107573929
자전거_MTB/사이클,자이언트 리볼트 어드밴스 0(2024),"2,100,000",SALE,본인인증 회원,False,True,공백구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573777,1107573777
자전거_MTB/사이클,"비앙키 올트레 프로 (슈퍼레코드,보울)","10,000,000",SOLD_OUT,중고나라 회원,False,False,인천대마왕뿡뿡,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573474,1107573474
자전거_MTB/사이클,2018 포커스 이자르코 맥스,"2,500,000",ESCROW,본인인증 회원,True,True,울산권씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573382,1107573382
자전거_MTB/사이클,마빅 크로스라이드 MTB 26인치 휠셋+ 스페셜라이즈드 26인치 림/디스크,"250,000",SALE,중고나라 회원,False,True,누룩막걸리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571744,1107571744
자전거_MTB/사이클,2023 메리다 스컬트라 6000 xxs 팝니다.,"2,000,000",SOLD_OUT,본인인증 회원,True,False,흰머리고래,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571429,1107571429
자전거_MTB/사이클,투부스 리어랙 + 오르트립 바리오 패니어백 (여행용 뒷짐받이와 가방세트),"150,000",SALE,중고나라 회원,False,True,이리저리이것저것,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571108,1107571108
자전거_MTB/사이클,스페셜라이즈드 락하퍼 자전거입니다,"300,000",SOLD_OUT,본인인증 회원,True,False,에미넴구뜨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571030,1107571030
자전거_MTB/사이클,자이언트 slr1 프리허브 구합니다. (시마노),"999,999",ESCROW,본인인증 회원,True,True,가나다,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570832,1107570832
자전거_MTB/사이클,무선변속 풀카본 로드사이클 PEDL9 트위터R12 트위터R15 트위터R15프로 트위터R12프로 PEDL9 ENDU1 그래블바이크,"1,380,000",SOLD_OUT,중고나라 회원,False,False,dks1004,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570624,1107570624
자전거_MTB/사이클,와후키커코어 스마트로라 민트급,"500,000",SALE,중고나라 회원,False,True,바른생활사나2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570389,1107570389
자전거_MTB/사이클,22년식 캐논데일 슈퍼식스 에보 44사이즈,"1,800,000",ESCROW,중고나라 회원,True,True,hijoon0101,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570023,1107570023
자전거_MTB/사이클,Dare vsru 프레임 핸들바 세트,"3,200,000",SALE,중고나라 회원,False,True,beat1032,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107569735,1107569735
