카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_기타 자전거 용품,"이스턴, 시마노 프로 드롭바","30,000",SALE,중고나라 회원,False,True,체사레,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696516,1107696516
자전거_기타 자전거 용품,2025.06.14 무주 그란폰도 남자 1명 양도합니다.,"50,000",ESCROW,본인인증 회원,True,True,전병욱,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695208,1107695208
자전거_기타 자전거 용품,라파 x 아피듀라 핸들바백 새들백,"350,000",SALE,본인인증 회원,False,True,플러스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694018,1107694018
자전거_기타 자전거 용품,브룩스 안장 그립,"200,000",ESCROW,본인인증 회원,True,True,냥냥이펀치,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693842,1107693842
자전거_기타 자전거 용품,매디슨 미니벨로 델타 헹어 팝니다.,"10,000",SALE,본인인증 회원,False,True,qkznlqjffp,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693533,1107693533
자전거_기타 자전거 용품,아이벡스3 단청 s사이즈,"200,000",SALE,본인인증 회원,False,True,파랑81,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692916,1107692916
자전거_기타 자전거 용품,라파 프로팀 져지 빕숏,"150,000",SALE,본인인증 회원,False,True,파랑81,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692450,1107692450
자전거_기타 자전거 용품,라파 빕숏 져지 모자,"25,000",ESCROW,인증+안전거래 회원,True,True,앨리스맘7979,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692260,1107692260
자전거_기타 자전거 용품,"브롬바커, 브롬톤 브레이크 캘리퍼 티타늄 볼트 세트 (한 대분) 팝니다.","55,000",SALE,중고나라 회원,False,True,현이장터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691625,1107691625
자전거_기타 자전거 용품,"라파, 고빅 의류 , 시마노 에스파이어 s-phyre rc9 로드 클릿슈즈 판매","110,000",SALE,중고나라 회원,False,True,잠이 오는 낮,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691551,1107691551
자전거_기타 자전거 용품,니욜 프런트미니파우치,"38,000",ESCROW,본인인증 회원,True,True,전라도아빠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691480,1107691480
자전거_기타 자전거 용품,"브롬톤 T라인, 순정 신형 브레이크 캘리퍼 세트 (앞,뒤) 팝니다.","95,000",SALE,중고나라 회원,False,True,현이장터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690929,1107690929
자전거_기타 자전거 용품,DT스타라쳇18T,"38,000",ESCROW,본인인증 회원,True,True,전라도아빠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690551,1107690551
자전거_기타 자전거 용품,"트리고 포크용 고프로, 전조등 마운트 (1925) 팝니다. [판매완료]","15,000",SOLD_OUT,중고나라 회원,False,False,현이장터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690160,1107690160
자전거_기타 자전거 용품,본트래거 스펙터 웨이브셀,"65,000",SALE,본인인증 회원,False,True,임프틴,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689126,1107689126
자전거_기타 자전거 용품,와후 키커 롤러 신형2세대,"850,000",SALE,중고나라 회원,False,True,장난똥칩,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688994,1107688994
자전거_기타 자전거 용품,셀레 이탈리아 노부스 그래블 안장,"90,000",ESCROW,본인인증 회원,True,True,삽질의제왕,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687606,1107687606
자전거_기타 자전거 용품,셀레이탈리아 SLR 부스트 그래블 TI316 수퍼플로우 (S3) 자전거 안장,"120,000",SALE,인증+안전거래 회원,False,True,드라이브파워신,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687474,1107687474
자전거_기타 자전거 용품,시마노 세인트 평페달 PD-MX80 상태 좋아요,"2,222",SALE,본인인증 회원,False,True,우기야다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687421,1107687421
자전거_기타 자전거 용품,[가격인하]아씨오마 양발형 파워미터(룩클릿),"450,000",SOLD_OUT,본인인증 회원,True,False,공공칠빵,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685154,1107685154
자전거_기타 자전거 용품,스폐셜라이즈드 반팔 져지 저지 판매합니다 L사이즈,"27,000",SOLD_OUT,본인인증 회원,False,False,떠오르는바다,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685066,1107685066
자전거_기타 자전거 용품,id221 c5 pro 판매,"150,000",SOLD_OUT,본인인증 회원,True,False,수사헌병,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685045,1107685045
자전거_기타 자전거 용품,"darevi 데어비 5부 빕, 7부빕, 판매","30,000",SALE,중고나라 회원,False,True,잠이 오는 낮,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684504,1107684504
자전거_기타 자전거 용품,에스웍스토치  40사이즈,"380,000",SALE,본인인증 회원,False,True,하얀피어싱,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683591,1107683591
