카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_미니벨로,다혼 스피드 D9 접이식 미니벨로,"450,000",SALE,중고나라 회원,False,True,육삼에이엠쥐,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594143,1107594143
자전거_미니벨로,바이크스시티,"650,000",SALE,본인인증 회원,False,True,hundy dude,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590505,1107590505
자전거_미니벨로,브롬톤 c라인 24년식 2단 어반 S2L 소프트 그레이 판매합니다.,"2,050,000",SOLD_OUT,본인인증 회원,False,False,풀링굴스,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590375,1107590375
자전거_미니벨로,다혼 스피드 D9 미니벨로 자전거,"350,000",SOLD_OUT,인증+안전거래 회원,False,False,베짱이정신,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586667,1107586667
자전거_미니벨로,조코비틀 유아자전거,"20,000",ESCROW,중고나라 회원,True,True,코파이터,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583444,1107583444
자전거_미니벨로,스트라이다 주황색 팝니다.,"300,000",SOLD_OUT,본인인증 회원,False,False,백터스칼라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579759,1107579759
자전거_미니벨로,비올리 메디오폰도 페어그린 A급 판매합니다.,"800,000",SOLD_OUT,본인인증 회원,False,False,오봉수이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575125,1107575125
자전거_미니벨로,새거 접이식 미니벨로 자전거 팝니다,"73,000",SALE,중고나라 회원,False,True,geg3907,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574497,1107574497
자전거_미니벨로,위미 모델8 미니벨로,"290,000",SOLD_OUT,본인인증 회원,False,False,행복삼둥이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574230,1107574230
자전거_미니벨로,브롬톤 자전거 M6L 플레임라커,"2,500,000",SOLD_OUT,중고나라 회원,False,False,볶음밥먹고갈래,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571631,1107571631
자전거_미니벨로,브롬톤 s2r 21년식 레이싱 그린,"1,700,000",SOLD_OUT,본인인증 회원,False,False,프레이터,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107569048,1107569048
자전거_미니벨로,브롬톤24 c라인 M2L 판매합니다.(5단업글),"2,400,000",SOLD_OUT,본인인증 회원,False,False,페페,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107568323,1107568323
자전거_미니벨로,Gs20 인지접이식자전거,"90,000",SALE,본인인증 회원,False,True,연주효주맘,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107568142,1107568142
자전거_미니벨로,브롬톤 수퍼라이트 어드벤스 펜타클립,"53,000",ESCROW,본인인증 회원,True,True,multis,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107566195,1107566195
자전거_미니벨로,브롬톤 순정 엑스트라 라이트 휠셋 판매,"90,000",SOLD_OUT,본인인증 회원,True,False,multis,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563731,1107563731
자전거_미니벨로,스트라이다 오베르진,"400,000",SALE,중고나라 회원,False,True,제주바다해삼,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107563133,1107563133
