카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_전기/특수자전거,비아지오 HX5  전기 자전거,"1,350,000",SALE,본인인증 회원,False,True,뚝언,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692910,1107692910
자전거_전기/특수자전거,모토벨로 전기자전거 17.5a 앞뒤샥 (상태 S급),"650,000",SALE,중고나라 회원,False,True,쿨하게ㅁㅁㅁㅁㅁㅁㅁ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690320,1107690320
자전거_전기/특수자전거,엑스라이더 x100max 자토바이ㅍ,"1,800,000",SALE,중고나라 회원,False,True,이아람,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685191,1107685191
자전거_전기/특수자전거,SUPER73 S2 블랙,"3,900,000",SALE,중고나라 회원,False,True,지딱코,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684062,1107684062
자전거_전기/특수자전거,레이윙 디스커버리 와일드 S20 전기 전동스쿠터 이디뚜뚜 경쟁모델,"2,000",SALE,중고나라 회원,False,True,필교09,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683780,1107683780
자전거_전기/특수자전거,프리웨이롱 gt 배터리 60v 50ah 팔아요. 안산 원곡동,"450,000",SALE,중고나라 회원,False,True,함붙자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683212,1107683212
자전거_전기/특수자전거,AU테크 엑스트렉 몬스터B 자토바이 전기자전거 새상품 판매,"930,000",SOLD_OUT,본인인증 회원,False,False,맹구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682431,1107682431
자전거_전기/특수자전거,"LG셀 36V 18.5Ah 배터리팩 팝니다. 전동킥보드, 전기자전거용 택포 22만원","220,000",ESCROW,중고나라 회원,True,True,피쉬 파워,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679376,1107679376
자전거_전기/특수자전거,"LG셀 48V 15Ah 배터리팩 팝니다. 전동킥보드, 전기자전거용 택포 21.5만원","215,000",ESCROW,중고나라 회원,True,True,피쉬 파워,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679360,1107679360
자전거_전기/특수자전거,"LG셀 36V 14.7Ah 배터리팩 팝니다. 전동킥보드, 전기자전거용 택포 17만원","170,000",ESCROW,중고나라 회원,True,True,피쉬 파워,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679341,1107679341
자전거_전기/특수자전거,2024년7월 삼천리자전거 펜텀q 전기자전거,"700,000",SOLD_OUT,본인인증 회원,False,False,프레시오,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678679,1107678679
자전거_전기/특수자전거,전기자전거 전동킥보드 배터리 수리 리필 맞춤제작,"11,111",ESCROW,인증+안전거래 회원,True,True,오셔너스리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678404,1107678404
자전거_전기/특수자전거,모토벨로 G7 G8 배터리 수리 리필 36V48V,"220,000",ESCROW,인증+안전거래 회원,True,True,오셔너스리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678382,1107678382
자전거_전기/특수자전거,오베아 라이즈 카본 M20 M사이즈 팝니다.​,"5,200,000",SALE,본인인증 회원,False,True,Choyk2007,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678354,1107678354
자전거_전기/특수자전거,smd v2 25ah 예약,"400,000",ESCROW,인증+안전거래 회원,True,True,오셔너스리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678297,1107678297
자전거_전기/특수자전거,삼천리 팬텀베스티아플러스 3차가격인하,"500,000",SALE,본인인증 회원,False,True,하이페리온1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677296,1107677296
자전거_전기/특수자전거,마리오e바이크,"850,000",SOLD_OUT,중고나라 회원,False,False,개념무작위,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107675545,1107675545
자전거_전기/특수자전거,매디슨 델타 접이식 자전거,"680,000",SALE,중고나라 회원,False,True,보드4공주,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107672980,1107672980
자전거_전기/특수자전거,전기자전거,"850,000",ESCROW,본인인증 회원,True,True,kjmvvv동대문,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671825,1107671825
자전거_전기/특수자전거,"au스카닉 m20, 36v 배터리4개 구성 일괄 27만원, 배터리 각개 가능","270,000",SALE,본인인증 회원,False,True,열심히촬영,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670891,1107670891
자전거_전기/특수자전거,퀄리 엑스트론 시티 새상품급,"1,450,000",ESCROW,본인인증 회원,True,True,junghs,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670693,1107670693
자전거_전기/특수자전거,(가격인하) 와후 키커바이크 2세대 스마트로라,"3,600,000",SALE,본인인증 회원,False,True,수련나래,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670119,1107670119
자전거_전기/특수자전거,"외발자전거

님버스

나이트폭스 36인치","600,000",SALE,중고나라 회원,False,True,평화모니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107669886,1107669886
