카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_휠/킥보드,"16인치 349 림 킨린 NB-R 올블랙(일반/롤프), 선 링레","50,000",SALE,중고나라 회원,False,True,체사레,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696864,1107696864
자전거_휠/킥보드,"20인치 451 킨린림 XR-240, XR-270, NB-R","50,000",SALE,중고나라 회원,False,True,체사레,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696706,1107696706
자전거_휠/킥보드,11인치 듀얼트론 썬더1 모터 2개,"300,000",SALE,본인인증 회원,False,True,지훈고니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693706,1107693706
자전거_휠/킥보드,스톰,"900,000",SOLD_OUT,중고나라 회원,False,False,서울WB부르릉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691701,1107691701
자전거_휠/킥보드,스쿠터나라 듀얼랩터 X10 전동킥보드 60v 23ah (가격내림),"800,000",SALE,본인인증 회원,False,True,지훈고니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684604,1107684604
자전거_휠/킥보드,나인봇 맥스 G30 2세대,"250,000",SALE,중고나라 회원,False,True,oomoneyoo,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684355,1107684355
자전거_휠/킥보드,타우러스 뉴클래식 60v 11인치 모터 팔아요. 안산 원곡동,"140,000",SALE,중고나라 회원,False,True,함붙자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684067,1107684067
자전거_휠/킥보드,타우러스 뉴클래식 킥보드 배터리 60v 26ah 안산 원곡동,"290,000",SALE,중고나라 회원,False,True,함붙자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684022,1107684022
자전거_휠/킥보드,킥보드 배터리 60v 30ah RM파워제작 삼성 21700 안산 원곡동,"290,000",SALE,중고나라 회원,False,True,함붙자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683754,1107683754
자전거_휠/킥보드,듀얼트론 스파이더 맥스,"2,400,000",SALE,중고나라 회원,False,True,악셀러레이터,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683617,1107683617
자전거_휠/킥보드,타우러스x,"1,200,000",SALE,본인인증 회원,False,True,개봄봄이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683287,1107683287
자전거_휠/킥보드,듀얼트론 스파이더2,"880,000",SOLD_OUT,중고나라 회원,False,False,RRL,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682211,1107682211
자전거_휠/킥보드,위페드 smax,"700,000",SOLD_OUT,본인인증 회원,False,False,hank****,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107680865,1107680865
자전거_휠/킥보드,위페드93 판매합니다,"750,000",SALE,본인인증 회원,False,True,great21,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679764,1107679764
자전거_휠/킥보드,위페드 93판매합니다,"750,000",SALE,본인인증 회원,False,True,great21,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676358,1107676358
자전거_휠/킥보드,마이크로킥보드 맥시 프로,"240,000",SALE,중고나라 회원,False,True,즐건하루0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107676196,1107676196
자전거_휠/킥보드,[판매] 듀얼트론 썬더1 기함급 전동 킥보드 퀵보드,"2,000",SALE,◆셀러회원◆,False,True,판매글작성대행,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107669374,1107669374
자전거_휠/킥보드,2400w 듀얼모터 알콘듀얼 전동킥보드 팝니다.,"398,000",SOLD_OUT,중고나라 회원,True,False,필트레이시,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107668998,1107668998
자전거_휠/킥보드,"스턴트스쿠터, 스턴트바이크 (묘기 킥보드) 팝니다.","50,000",SALE,본인인증 회원,False,True,jk지훈,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107663993,1107663993
자전거_휠/킥보드,전동킥보드 안장 브라켓 윌리바팝니다,"30,000",SOLD_OUT,중고나라 회원,True,False,땅굴소년,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107662761,1107662761
자전거_휠/킥보드,카본휠셋 싸게팔아요,"300,000",SALE,중고나라 회원,False,True,명랑식구,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107658557,1107658557
자전거_휠/킥보드,원스텝 8s  부품용 판매합니다,"100,000",SALE,본인인증 회원,False,True,방글방글99,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107658456,1107658456
자전거_휠/킥보드,"자이언트 SLR2 카본휠셋 팝니다.(50mm, 스램용)","300,000",ESCROW,본인인증 회원,True,True,kmcop,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107658284,1107658284
자전거_휠/킥보드,각종 킥보드 전기자전거 브레이크 세미메탈 패드,"7,000",ESCROW,본인인증 회원,True,True,Galantisss,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107654064,1107654064
자전거_휠/킥보드,ts600 판매합니다 상태좋음,"350,000",ESCROW,본인인증 회원,True,True,화니파덜,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107649450,1107649450
