카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고폰/모바일_기타,오닉스 Go컬러 7 화이트,"290,000",SALE,본인인증 회원,False,True,클라젤,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693632,1107693632
중고폰/모바일_기타,스벅프리퀀시 미션3000,"3,000",SOLD_OUT,인증+안전거래 회원,True,False,세종마루,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693302,1107693302
중고폰/모바일_기타,암웨이 새티니크 두피(탈모)분석 디바이스(택포)가격내림,"30,000",SALE,본인인증 회원,False,True,승하현서맘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107689123,1107689123
중고폰/모바일_기타,아이폰16프로 케이스티파이 리플케이스 팝니다,"64,000",SOLD_OUT,본인인증 회원,False,False,쁘띠 뱅,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686161,1107686161
중고폰/모바일_기타,애플워치 울트라 풀메탈케이스 판매합니다,"40,000",SALE,본인인증 회원,False,True,왔따i,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107683969,1107683969
중고폰/모바일_기타,리전고 512,"500,000",SOLD_OUT,중고나라 회원,False,False,kakyu,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682606,1107682606
중고폰/모바일_기타,애플펜슬 2세대,"120,000",SALE,본인인증 회원,False,True,김땅콩가루,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682303,1107682303
중고폰/모바일_기타,정품 포고플플 개조 된거 팝니다.,"75,000",SOLD_OUT,중고나라 회원,False,False,기냐안기냐,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107679686,1107679686
중고폰/모바일_기타,SKT 와이파이 공유기 2년 양도합니다!! 지원금 있음,"11,111",SALE,중고나라 회원,False,True,부리이이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677891,1107677891
중고폰/모바일_기타,메이플랜드 sss급 닉네임 팔아요 가격 연락주세오,"2,222",SALE,본인인증 회원,False,True,중고나라9101,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674649,1107674649
중고폰/모바일_기타,쿠팡 75% 대리구매 구해요,"234,090",SOLD_OUT,본인인증 회원,True,False,임뭉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107674110,1107674110
중고폰/모바일_기타,"이북리더기 파우치(케이스) 팝니다.(1,500원)","2,222",SALE,본인인증 회원,False,True,Cestlavie76,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673429,1107673429
중고폰/모바일_기타,알파스캐너 새제품 팝니다,"110,000",ESCROW,본인인증 회원,True,True,락바텀스터너,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673282,1107673282
중고폰/모바일_기타,알파스캐너 한달사용 팝니다,"80,000",ESCROW,본인인증 회원,True,True,락바텀스터너,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673251,1107673251
중고폰/모바일_기타,비글본 블랙 새상품,"55,000",SALE,중고나라 회원,False,True,딴딴이맘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673172,1107673172
중고폰/모바일_기타,케이스티파이 15프로맥스,"35,000",ESCROW,본인인증 회원,True,True,Mrs Choi,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107671155,1107671155
