카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
출산유아동_용품,"(택포)핑크퐁 한글버스, 영어버스 일괄","35,000",SALE,본인인증 회원,False,True,럭키위니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594326,1107594326
출산유아동_용품,[판매완료] 다이치 블리바 360 i-Size 카시트 + 선바이저,"12,345",SOLD_OUT,본인인증 회원,True,False,리기동동동동,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594086,1107594086
출산유아동_용품,웜앤크리미 보행기튜브,"10,000",SALE,본인인증 회원,False,True,sujiny,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593107,1107593107
출산유아동_용품,새상품 폼포라 n 웨건 블랙+스페이스그레이 구성품 9종 포함 미개봉 무료택배배송,"500,000",SALE,중고나라 회원,False,True,soo0812,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593013,1107593013
출산유아동_용품,지아지조 수박 에어 바이킹 소형,"350,000",SALE,본인인증 회원,False,True,블로,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592037,1107592037
출산유아동_용품,실내놀이터 소형 정글짐 팝니다,"60,000",SALE,중고나라 회원,False,True,woojlove,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591625,1107591625
출산유아동_용품,스토이 밸런스 바이크,"50,000",SOLD_OUT,본인인증 회원,False,False,블로,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591623,1107591623
출산유아동_용품,넘버블럭스 퍼즐 솔버,"18,000",SALE,본인인증 회원,False,True,안녕헤이즐1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591112,1107591112
출산유아동_용품,여아 오로라 보석 티니핑 공주머리띠 새상품,"4,500",SALE,본인인증 회원,False,True,the퀸카,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590700,1107590700
출산유아동_용품,(택포)와이즈블럭 (몰펀 과비슷),"12,000",SALE,인증+안전거래 회원,False,True,해빛따스한,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590632,1107590632
출산유아동_용품,쁘띠메종 플레이하우스 상태좋아요,"85,000",ESCROW,중고나라 회원,True,True,에눌맘,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590593,1107590593
출산유아동_용품,레이퀸) 스탠다드 욕조 팝니다.,"10,000",SALE,중고나라 회원,False,True,Sso,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590507,1107590507
출산유아동_용품,(새상품)룰라비 샌들 190,"15,000",SALE,본인인증 회원,False,True,zzangok0803,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590483,1107590483
출산유아동_용품,((리뉴얼모델))에듀토이 183피스 (호비 에드토이 edtoy 내가맥스 다빈치키즈 다빈치자석블럭),"110,000",SALE,인증+안전거래 회원,False,True,해빛따스한,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590476,1107590476
출산유아동_용품,(완벽구성)키즈스콜레 샤인밴밴(야광에드토이 야광자석블럭),"89,000",SALE,인증+안전거래 회원,False,True,해빛따스한,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590438,1107590438
출산유아동_용품,(새상품) 크록스 c12,"20,000",SALE,본인인증 회원,False,True,zzangok0803,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590405,1107590405
출산유아동_용품,포켓몬 카카오 디즈니 등 인형일괄 14개,"30,000",SALE,본인인증 회원,False,True,zzangok0803,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590324,1107590324
출산유아동_용품,코니 아기띠 차콜 s사이즈,"10,000",SALE,본인인증 회원,False,True,pypg,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590092,1107590092
출산유아동_용품,클립3 유모차,"1,800,000",SALE,중고나라 회원,False,True,찍찍칮지,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589932,1107589932
출산유아동_용품,디트로네 s,"2,600,000",SOLD_OUT,중고나라 회원,False,False,밀크티83,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589806,1107589806
출산유아동_용품,똘똘이한글가방,"5,000",SALE,본인인증 회원,False,True,preettyu19,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589755,1107589755
출산유아동_용품,미니특공대 볼트 가면 벨트세트,"10,000",SALE,본인인증 회원,False,True,preettyu19,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589693,1107589693
출산유아동_용품,여아단목 20족 아동 키즈 양말 개별포장 사은품 선물용,"8,000",ESCROW,인증+안전거래 회원,True,True,베스트룩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589464,1107589464
출산유아동_용품,스토케 리마스 아기띠 플렉스 브라운 컬러 새상품 15만원 팝니다,"150,000",ESCROW,인증+안전거래 회원,True,True,빠른거래신속정확,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589416,1107589416
출산유아동_용품,또봇 로켓,"13,000",SALE,본인인증 회원,False,True,한사람고,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589355,1107589355
출산유아동_용품,뉴나 리프 바운서 그린 컬러 모빌 / 택배비 포함,"70,000",SALE,본인인증 회원,False,True,Hyeri5,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589107,1107589107
출산유아동_용품,파워레인저 트레인포스 트레인체인저,"15,000",SALE,본인인증 회원,False,True,한사람고,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588883,1107588883
출산유아동_용품,마텔 쥬라기월드 티라노사우르스 슐라이히 공룡 일괄,"10,000",SALE,중고나라 회원,False,True,브로콜리양EO,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588856,1107588856
출산유아동_용품,콘크리트브레드 피넛잼 양말세트 baby~120,"9,000",SALE,본인인증 회원,False,True,Z,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588804,1107588804
출산유아동_용품,봉통 아기 샌들 21,"40,000",SALE,본인인증 회원,False,True,Z,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588721,1107588721
출산유아동_용품,아동(어린이) 식기 식판 수저+포크 외 내놓습니다.,"2,000",SALE,중고나라 회원,False,True,베베비니,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588697,1107588697
출산유아동_용품,레고프렌즈 41381바다지킴이보트,"50,000",SALE,본인인증 회원,False,True,깨레,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588276,1107588276
출산유아동_용품,레고프렌즈 41704메인스트리트빌딩,"85,000",SALE,본인인증 회원,False,True,깨레,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588143,1107588143
출산유아동_용품,레고프렌즈 41732다운타운스퀘어,"85,000",SALE,본인인증 회원,False,True,깨레,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587998,1107587998
