카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
카메라_메모리/배터리/가방,샌디스크 울트라 렉사 667x sd카드,"30,000",SALE,인증+안전거래 회원,False,True,읏챠9999,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697319,1107697319
카메라_메모리/배터리/가방,캐논 정품 LP-E6N 개당 1.5 싸게 팝니다,"15,000",SOLD_OUT,본인인증 회원,False,False,kjc3978,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697286,1107697286
카메라_메모리/배터리/가방,※※※펠리칸 iM2875 스톰 케이스 ※※※,"250,000",SALE,중고나라 회원,False,True,딩굴딩굴잉잉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692335,1107692335
카메라_메모리/배터리/가방,[매입]<<업계 최고가>> 모든 브랜드 삼각대 조명 플래쉬 스트로보 [셔틀러 짓조 맨프로토..],"2,000",SALE,◆셀러회원◆,False,True,디카월드 DC World,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691505,1107691505
카메라_메모리/배터리/가방,소니 충전기 BC-QZ1 정품 팝니다.,"70,000",SALE,본인인증 회원,False,True,초보사진,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690274,1107690274
카메라_메모리/배터리/가방,피지테크 원고 솔로 V2 카메라 슬링백 6L,"7,500",SOLD_OUT,중고나라 회원,False,False,바바밤밤바바,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107686808,1107686808
카메라_메모리/배터리/가방,"샌디스크 익스트림 프로 SD 256GB , CF 128GB 메모리카드 팝니다","2,000",SALE,중고나라 회원,False,True,cautlrtk,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678916,1107678916
카메라_메모리/배터리/가방,소니 정품 카메라 배터리 np-fz100,"50,000",SOLD_OUT,인증+안전거래 회원,True,False,올레,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670165,1107670165
카메라_메모리/배터리/가방,cfe diy 512기가 cf express type b 팝니다.택배비포함,"90,000",SOLD_OUT,본인인증 회원,True,False,전화x문자주세요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107660581,1107660581
카메라_메모리/배터리/가방,내셔널지오그래픽 NG2345 가방 팝니다.,"30,000",SOLD_OUT,본인인증 회원,False,False,Ace,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107659843,1107659843
카메라_메모리/배터리/가방,멘도자 가방 삽니다.,"60,000",SALE,본인인증 회원,False,True,매직성근,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653603,1107653603
카메라_메모리/배터리/가방,라이카 Q 시리즈 홀스터,"200,000",SOLD_OUT,인증+안전거래 회원,True,False,SupermaliO,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653458,1107653458
카메라_메모리/배터리/가방,"원더드, wandrd 백팩 21l 판매합니다","160,000",SOLD_OUT,본인인증 회원,False,False,여명의빛2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653072,1107653072
카메라_메모리/배터리/가방,저용량 CF 메모리 카드 128메가 판매,"15,000",SALE,인증+안전거래 회원,False,True,중고소품,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107652999,1107652999
카메라_메모리/배터리/가방,[미개봉] OHHO 카메라 백팩 판매합니다.,"80,000",SOLD_OUT,본인인증 회원,True,False,0 깔끔대장 0,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651699,1107651699
카메라_메모리/배터리/가방,캐논 lp-E19 미개봉 새제품,"180,000",ESCROW,본인인증 회원,True,True,중고나라주나,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107650653,1107650653
