카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
카메라_일반디카/하이엔드,캐논 EOS 10D 디카 (바디),"49,000",SALE,본인인증 회원,False,True,즐기며살자잉,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696540,1107696540
카메라_일반디카/하이엔드,카시오 엑슬림 EXILIM 빈티지 디카 팝니다,"200,000",SALE,중고나라 회원,False,True,merecee,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694795,1107694795
카메라_일반디카/하이엔드,올림푸스 빈티지 디카2대(FE330. μ-780) 팝니다,"130,000",ESCROW,인증+안전거래 회원,True,True,Apaoc67,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693930,1107693930
카메라_일반디카/하이엔드,리코 gr3x hdf 풀박 + GV-3 일괄 판매,"2,100,000",SOLD_OUT,본인인증 회원,False,False,우리꽥꽥,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693910,1107693910
카메라_일반디카/하이엔드,캐논 익서스 IXUS v2 팝니다,"250,000",ESCROW,본인인증 회원,True,True,ELParaiso,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693642,1107693642
카메라_일반디카/하이엔드,파라소닉 DMC-FH3,"160,000",SOLD_OUT,인증+안전거래 회원,True,False,안성맞춤좋아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691883,1107691883
카메라_일반디카/하이엔드,"리코 GR3x 어반 에디션 , 소니 RX1 , 후지필름 XF10 샴페인골드 , FDR-AXP55 AXP55 , FDR-X3000 액션캠 , 삼성 85mm F1.4 ED SSA 85.4","2,000",SALE,◆셀러회원◆,False,True,ssulist,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690456,1107690456
카메라_일반디카/하이엔드,"소니 ZV-1F , ZV-E10 , A6400 , SEL1018 10-18mm , SELP18105G 18-105mm , GP-VPT2BT","2,000",SALE,◆셀러회원◆,False,True,ssulist,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690295,1107690295
카메라_일반디카/하이엔드,DJI Osmo Action 4 Action 2 오즈모 액션4 액션2 액션캠,"2,000",SALE,중고나라 회원,False,True,너무반가워C1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688929,1107688929
카메라_일반디카/하이엔드,캐논 익서스 850 is 판매합니다,"320,000",SALE,중고나라 회원,False,True,도 토리이이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107688338,1107688338
카메라_일반디카/하이엔드,소니 사이버샷 DSC-L1 빈티지 디카(신품급 소장품),"170,000",SOLD_OUT,인증+안전거래 회원,False,False,슈마너,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687970,1107687970
카메라_일반디카/하이엔드,니콘 쿨픽스 S520 빈티지디카(디지털카메라) 핑크,"200,000",SALE,인증+안전거래 회원,False,True,슈마너,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687952,1107687952
카메라_일반디카/하이엔드,"세기몰 리코 GR3 미개봉 새상품 판매합니다 힐링쉴드 필름, 니워 NEEWER 필터 포함","1,650,000",ESCROW,본인인증 회원,True,True,lililiklllllll,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685605,1107685605
카메라_일반디카/하이엔드,리코 gr3x 어반 에디션,"1,500,000",SOLD_OUT,중고나라 회원,False,False,mummerism,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684860,1107684860
카메라_일반디카/하이엔드,캐논 파워샷 v10 팔아요,"370,000",SALE,본인인증 회원,False,True,피야아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107684622,1107684622
카메라_일반디카/하이엔드,소니 사이버샷 DSC-P150 빈티지 디카 팝니다,"190,000",ESCROW,본인인증 회원,True,True,ELParaiso,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107682517,1107682517
카메라_일반디카/하이엔드,"배터리, 충전기 SCL6, 필터 E49","500,000",SALE,본인인증 회원,False,True,Ahaaaha,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107678224,1107678224
카메라_일반디카/하이엔드,DJI 오즈모 포켓3(3번 사용/25년 3월 DJI공식업체 구입/액세서리 포함),"680,000",SALE,본인인증 회원,False,True,S2UN,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677787,1107677787
카메라_일반디카/하이엔드,소니 사이버샷 M1 판매합니다,"80,000",SALE,본인인증 회원,False,True,daldalhada,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673838,1107673838
카메라_일반디카/하이엔드,소니 Sony DSC-P5 디지털 카메라 디카,"95,000",SOLD_OUT,인증+안전거래 회원,False,False,우연,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107673717,1107673717
카메라_일반디카/하이엔드,니콘 쿨픽스 4100 필독!!,"60,000",SALE,중고나라 회원,False,True,하얀장부,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107672141,1107672141
카메라_일반디카/하이엔드,고프로 hero7 블랙 팔아요 (악세사리O),"200,000",SALE,중고나라 회원,False,True,있디마요,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670961,1107670961
카메라_일반디카/하이엔드,소니 핸디캠 초소형 희귀모델 4mm 캠코더 DCR-IP45,"380,000",ESCROW,중고나라 회원,True,True,xenotar,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670958,1107670958
카메라_일반디카/하이엔드,리코 GR3 HDF 판매,"1,700,000",SALE,중고나라 회원,False,True,변성남,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107670097,1107670097
카메라_일반디카/하이엔드,후지 x100vi 실버 미개봉 판매 합니다,"2,600,000",SOLD_OUT,본인인증 회원,True,False,Henri00,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107668585,1107668585
카메라_일반디카/하이엔드,리코 gr3 hdf 카메라 팝니다,"1,550,000",SOLD_OUT,본인인증 회원,False,False,양양,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107667827,1107667827
카메라_일반디카/하이엔드,[매입]<<전국 최고가 매입>>캐논 니콘 카메라 렌즈 24시간 최고가 매입 <매입전문>,"2,000",SALE,◆셀러회원◆,False,True,디카월드 DC World,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107667087,1107667087
카메라_일반디카/하이엔드,캐논 파워샷 V1 판매합니다 캐논코리아 정품 미개봉,"1,200,000",SALE,본인인증 회원,False,True,타이가,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107665800,1107665800
카메라_일반디카/하이엔드,캐논 디카 a95 부품용(1만),"10,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,로마황,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107664668,1107664668
카메라_일반디카/하이엔드,[Leica] 라이카 D-LUX 8 + 정품 핸드그립 + 정품 오토 렌즈 캡,"2,500,000",SALE,중고나라 회원,False,True,FXXKNEXTWEEK,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107661703,1107661703
카메라_일반디카/하이엔드,캐논 카메라 EOS - M5,"500,000",SALE,중고나라 회원,False,True,찬찬,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107660529,1107660529
카메라_일반디카/하이엔드,[청주] 후지필름 X100VI 실버 민트급 풀구성 판매합니다.,"2,700,000",SOLD_OUT,본인인증 회원,False,False,청주흔남,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107659969,1107659969
카메라_일반디카/하이엔드,캐논 빅시아 vixia hf r62 r600 디지털캠코더(한국판),"460,000",SALE,중고나라 회원,False,True,박씨크,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107658608,1107658608
카메라_일반디카/하이엔드,니콘 디지털카메라 D70S 엔틱 팝니다,"55,000",SOLD_OUT,중고나라 회원,False,False,드림3715,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107657559,1107657559
카메라_일반디카/하이엔드,"라이카 m10 블랙, 주미크론 현행 실버 35mm1.2 asph","8,600,000",SALE,중고나라 회원,False,True,인콩콩,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107657207,1107657207
카메라_일반디카/하이엔드,니콘 쿨픽스(COOLPIX) P1000 팝니다.,"950,000",SOLD_OUT,중고나라 회원,False,False,지퐈지퐈,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107657052,1107657052
카메라_일반디카/하이엔드,** [가격인하] 리코 GR3 다이어리 에디션 판매합니다.,"1,500,000",SOLD_OUT,본인인증 회원,False,False,hot7531,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107656686,1107656686
카메라_일반디카/하이엔드,(일괄75만원) 산요작티4대.JVC캠코더.카시오디카 일괄팝니다.,"750,000",SALE,중고나라 회원,False,True,누군가는 사겠지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107656469,1107656469
카메라_일반디카/하이엔드,인스타 360 에이스 프로 악세사리,"35,000",SALE,중고나라 회원,False,True,솜털숭숭,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107655552,1107655552
카메라_일반디카/하이엔드,후지 X100VI 실버 (새상품급),"2,600,000",SOLD_OUT,중고나라 회원,True,False,nnnee12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107655045,1107655045
카메라_일반디카/하이엔드,니콘 쿨픽스 p6000 판매합니다.,"180,000",SALE,중고나라 회원,False,True,잼,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107654365,1107654365
카메라_일반디카/하이엔드,라이카 Q2 | Leica Q2,"4,300,000",ESCROW,중고나라 회원,True,True,nnnee12,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653557,1107653557
카메라_일반디카/하이엔드,캐논코리아 정품 sx740hs 파워샷 sx740 hs 디카 판매합니다.,"2,000",SOLD_OUT,◆셀러회원◆,False,False,중고dslr카메라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107652728,1107652728
카메라_일반디카/하이엔드,캐논 오토보이 필름 카메라 입니다(인하),"100,000",SOLD_OUT,본인인증 회원,False,False,행리단길,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651833,1107651833
카메라_일반디카/하이엔드,인스타360 에이스프로 (박풀 액정 스티커 그대로),"450,000",ESCROW,본인인증 회원,True,True,닭다리9,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107651502,1107651502
카메라_일반디카/하이엔드,"소니 디카 일괄 판매 (Sony H20, DSC-W300, DSC-W130, DSC-W80)","550,000",SALE,중고나라 회원,False,True,winamp,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107650805,1107650805
카메라_일반디카/하이엔드,sony DSC-W350,"250,000",SALE,중고나라 회원,False,True,cpstudio61,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107650672,1107650672
카메라_일반디카/하이엔드,블랙매직 아템 미니 신동품,"250,000",SALE,◆셀러회원◆,False,True,진땡3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107650169,1107650169
카메라_일반디카/하이엔드,"핫셀블라드 X2D, 55V, 45P, 2구 충전기, 추배2개, L플레이트 각개 가능","13,300,000",SALE,중고나라 회원,False,True,다지기,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107649868,1107649868
카메라_일반디카/하이엔드,파나소닉 루믹스 LUMIX DMC-LC43 팝니다,"220,000",SALE,중고나라 회원,False,True,merecee,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107649163,1107649163
카메라_일반디카/하이엔드,오즈모포켓3 크리에이터 콤보 판매합니다 새삥급,"770,000",SALE,중고나라 회원,False,True,폭풍기관차,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648930,1107648930
카메라_일반디카/하이엔드,인스타360x4 신품급 판매합니다,"470,000",SOLD_OUT,중고나라 회원,False,False,폭풍기관차,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648705,1107648705
카메라_일반디카/하이엔드,리코 gr3x hdf 미개봉 새상품,"2,050,000",SALE,인증+안전거래 회원,False,True,마시시시,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648149,1107648149
카메라_일반디카/하이엔드,Beillen 배터리 2개 + 충전기 판매,"500,000",SALE,본인인증 회원,False,True,샤샤샤샤이보이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648133,1107648133
카메라_일반디카/하이엔드,theta z1 판매,"500,000",SALE,본인인증 회원,False,True,샤샤샤샤이보이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107647860,1107647860
카메라_일반디카/하이엔드,라이카 Leica D-lux 8 판매해요.,"2,550,000",SOLD_OUT,본인인증 회원,False,False,캠린이85,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107647527,1107647527
카메라_일반디카/하이엔드,sony  a6300  4k 판매,"700,000",SOLD_OUT,중고나라 회원,False,False,난 너와,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107646476,1107646476
카메라_일반디카/하이엔드,삼성 빈티지디카 wb550,"130,000",SALE,중고나라 회원,False,True,iillililiiilill,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107645929,1107645929
카메라_일반디카/하이엔드,밴로 사이언버드 카본 알미늄 멘프로토 비프리 삼각대 미개봉,"240,000",SOLD_OUT,◆셀러회원◆,False,False,진땡3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107645658,1107645658
카메라_일반디카/하이엔드,삼성케녹스x80 디지털카메라,"100,000",SALE,본인인증 회원,False,True,별님행성,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107645174,1107645174
카메라_일반디카/하이엔드,Sony RX100M5a....,"850,000",SOLD_OUT,중고나라 회원,True,False,모글리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107643923,1107643923
카메라_일반디카/하이엔드,오즈모 포켓3 크리에이터 콤보 (미개봉),"870,000",SALE,중고나라 회원,False,True,루초파라팡,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107643764,1107643764
카메라_일반디카/하이엔드,파워샷 v1 싸게 팔아요 (powershot v1),"1,090,000",SOLD_OUT,본인인증 회원,False,False,그래놀라야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107643539,1107643539
카메라_일반디카/하이엔드,"삼성 케녹스 Kenox S800 팝니다 (AA베터리, sd카드 포함)","150,000",SALE,중고나라 회원,False,True,8ROENL,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641481,1107641481
카메라_일반디카/하이엔드,유쾌한생각 CN-R480C 링라이트 유튜브 방송 조명,"60,000",SALE,중고나라 회원,False,True,너무반가워C1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107641180,1107641180
카메라_일반디카/하이엔드,삼성 pmp #11 디지털카메라 10만원,"100,000",SALE,인증+안전거래 회원,False,True,중앙어수라,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107640105,1107640105
카메라_일반디카/하이엔드,"tz99 (충전기+추가 보호필름, 5월 21일 구매) 판매합니다.","580,000",SALE,본인인증 회원,False,True,kensine1,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107638005,1107638005
카메라_일반디카/하이엔드,오즈모 포켓3 단품 미개봉 새제품 판매 (서울 직거래),"660,000",SALE,중고나라 회원,False,True,asdfsadfafew,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107637499,1107637499
카메라_일반디카/하이엔드,(디지털캠코더) Jvc Gz mg760s,"50,000",SALE,본인인증 회원,False,True,민초멍,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107637107,1107637107
카메라_일반디카/하이엔드,insta360 x3 + 다이브 케이스,"380,000",ESCROW,본인인증 회원,True,True,와상문,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107636077,1107636077
카메라_일반디카/하이엔드,레트로캠코더 샤프뷰캠Z VL-Z7U,"100,000",ESCROW,인증+안전거래 회원,True,True,빙고1107,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107635778,1107635778
카메라_일반디카/하이엔드,인스타360 X5 (정품)미개봉 새상품,"680,000",SOLD_OUT,본인인증 회원,True,False,헬보,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107635610,1107635610
카메라_일반디카/하이엔드,[Canon] 캐논 익서스 IXUS v2 팝니다,"250,000",ESCROW,본인인증 회원,True,True,ELParaiso,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107634250,1107634250
카메라_일반디카/하이엔드,Dji 포켓2 팝니다,"180,000",SOLD_OUT,본인인증 회원,False,False,잰틀팔 ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107634241,1107634241
카메라_일반디카/하이엔드,니콘 쿨픽스 P900 2000mm 초망원카메라 팝니다,"570,000",SOLD_OUT,중고나라 회원,False,False,foxrun2011,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633343,1107633343
카메라_일반디카/하이엔드,클래식 콘탁스 TVS 디지털 카메라 판매 합니다.,"700,000",SOLD_OUT,중고나라 회원,False,False,별멍불멍책멍,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633231,1107633231
카메라_일반디카/하이엔드,리코 GR3 스트리트에디션 . GR3X .  GR3X HDF . GR3X 어반에디션 미개봉,"1,570,000",SALE,◆셀러회원◆,False,True,진땡3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107632781,1107632781
카메라_일반디카/하이엔드,DJI RS4 PRO.  RS4 PRO콤보   RS 4 미니 테스트만 했읍니다,"950,000",SALE,◆셀러회원◆,False,True,진땡3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107632744,1107632744
카메라_일반디카/하이엔드,A7C2. A7C2 28-60킷트. A7M4 .A7M5 .A7CR. .ZV-E10M2 16-50킷트,"2,200,000",SALE,◆셀러회원◆,False,True,진땡3,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107632698,1107632698
카메라_일반디카/하이엔드,캐논 파워샷 A700 판매,"120,000",ESCROW,중고나라 회원,True,True,정보냠냠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107632145,1107632145
카메라_일반디카/하이엔드,올림푸스 빈티지 디카2대(FE330. μ-780) 팝니다,"130,000",ESCROW,인증+안전거래 회원,True,True,Apaoc67,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107631497,1107631497
카메라_일반디카/하이엔드,캐논 G7X mark3 세트,"1,000,000",SOLD_OUT,본인인증 회원,True,False,꾸야노까,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107631033,1107631033
카메라_일반디카/하이엔드,레트로 소니 SONY BMC-110 세계 최초 베타무비 디지털 캠코더 카메라,"60,000",SALE,인증+안전거래 회원,False,True,현석포에버,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107630829,1107630829
카메라_일반디카/하이엔드,소니액션카메라X3000R,"200,000",SALE,본인인증 회원,False,True,잰틀팔 ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107630342,1107630342
카메라_일반디카/하이엔드,폴라로이드 PDC3070 디카 디지털카메라 빈티지디카,"500,000",SALE,본인인증 회원,False,True,짱구는뚠뚠이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107629362,1107629362
카메라_일반디카/하이엔드,라이카 Q 정품 팝니다,"2,870,000",SALE,◆셀러회원◆,False,True,se6534,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625553,1107625553
카메라_일반디카/하이엔드,"리코  GR3 , GR3X 어반에디션 신품급 팝니다","777,777",SOLD_OUT,◆셀러회원◆,False,False,se6534,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625021,1107625021
카메라_일반디카/하이엔드,후지 av 카메라 구합니다. av110,"70,000",ESCROW,중고나라 회원,True,True,건강한도야지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624730,1107624730
카메라_일반디카/하이엔드,리코 GR3 정품팝니다,"1,390,000",SALE,◆셀러회원◆,False,True,se6534,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624591,1107624591
카메라_일반디카/하이엔드,리코 gr3 hdf,"1,800,000",SOLD_OUT,본인인증 회원,False,False,purelyjuv88,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107624491,1107624491
카메라_일반디카/하이엔드,리코 gr3x,"1,780,000",ESCROW,본인인증 회원,True,True,핸썸딜런,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621853,1107621853
카메라_일반디카/하이엔드,고프로 히어로7 블랙 팝니다.,"200,000",SALE,중고나라 회원,False,True,특공1번지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621622,1107621622
카메라_일반디카/하이엔드,니콘 쿨픽스 3200 팝니다.,"150,000",SALE,중고나라 회원,False,True,멋진마이클,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620297,1107620297
카메라_일반디카/하이엔드,고프로 정품 악세사리 팔아요,"10,000",SALE,본인인증 회원,False,True,숲스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620263,1107620263
카메라_일반디카/하이엔드,리코 GR3 스트릿에디션,"1,500,000",ESCROW,중고나라 회원,True,True,minboss19,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107620060,1107620060
카메라_일반디카/하이엔드,미개봉 인스타360 X5 팝니다.(국내정품),"2,000",SALE,중고나라 회원,False,True,liliillllililllili,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619701,1107619701
카메라_일반디카/하이엔드,소니 사이버샷 sony DSC-W330 디지털 카메라,"120,000",SOLD_OUT,인증+안전거래 회원,False,False,아주,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619681,1107619681
카메라_일반디카/하이엔드,오즈모 액션4,"330,000",ESCROW,본인인증 회원,True,True,콩콩익,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619428,1107619428
카메라_일반디카/하이엔드,파나소닉 AG-CX350 박스 포함,"2,500,000",SALE,◆셀러회원◆,False,True,wlstndkqk,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107619247,1107619247
카메라_일반디카/하이엔드,삼성VLUU WB550,"100,000",SOLD_OUT,인증+안전거래 회원,True,False,안성맞춤좋아,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107618934,1107618934
카메라_일반디카/하이엔드,삼성 갤럭시 카메라(EK-GC110),"80,000",ESCROW,인증+안전거래 회원,True,True,쏘씨쏘시,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107618386,1107618386
카메라_일반디카/하이엔드,후지필름 인스탁스 미니 Evo 블랙 상태좋음,"265,000",SALE,본인인증 회원,False,True,호날도발목,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615913,1107615913
카메라_일반디카/하이엔드,소니 사이버샷 dsc wx100 실버 한국어지원 디카 빈티지디카,"290,000",SOLD_OUT,본인인증 회원,False,False,짱구는뚠뚠이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615475,1107615475
카메라_일반디카/하이엔드,소니 빈티지 디카 dsc-wx50,"170,000",SALE,인증+안전거래 회원,False,True,tkatjdehd,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614456,1107614456
카메라_일반디카/하이엔드,캐논 파워샷v1 단순개봉,"1,240,000",ESCROW,본인인증 회원,True,True,디디D,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107614092,1107614092
카메라_일반디카/하이엔드,(4회사용풀박스/후기47개)DJI 오즈모 포켓2 크리에이터콤보(+128GB SD카드 증정),"405,000",SOLD_OUT,인증+안전거래 회원,True,False,찬은우,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107612724,1107612724
카메라_일반디카/하이엔드,(A급/직거래145000원) 캐논 파워샷 G2 인기빈티지디카 팝니다.,"145,000",SALE,중고나라 회원,False,True,누군가는 사겠지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107610161,1107610161
카메라_일반디카/하이엔드,삼성 미러팝 화이트 / 빈티지 카메라 똑딱이 디카 감성 갬성 mirror pop,"200,000",SALE,본인인증 회원,False,True,minicp,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107609387,1107609387
카메라_일반디카/하이엔드,라이카 c typ112 카메라,"550,000",ESCROW,인증+안전거래 회원,True,True,forthepeople,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607967,1107607967
카메라_일반디카/하이엔드,캐논  G3X,"360,000",SOLD_OUT,인증+안전거래 회원,True,False,도리바리,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607380,1107607380
카메라_일반디카/하이엔드,[GoPro Hero10] 고프로 히어로10 Black 풀세트 팝니다.,"360,000",SOLD_OUT,중고나라 회원,False,False,Seungjjang,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107605993,1107605993
