카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_기타 캠핑용품,코반500S,"3,500,000",SALE,중고나라 회원,False,True,acekd79,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697223,1107697223
캠핑_기타 캠핑용품,"[모두 새제품] 빈슨메시프 파스텔 침낭, 벨락 더블 바베큐 그릴, 스노우라인 비너스체어 캠핑 우드 체어 2개","2,000",ESCROW,중고나라 회원,True,True,아이사늘,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695996,1107695996
캠핑_기타 캠핑용품,스타벅스 아이스 쿨러 (아이스박스) 핑크색상 새상품,"50,000",SALE,인증+안전거래 회원,False,True,스마일 호야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695713,1107695713
캠핑_기타 캠핑용품,카누 X BOSE 보스 사운드링크 플렉스 블루투스 스피커 새상품,"120,000",SALE,인증+안전거래 회원,False,True,스마일 호야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695686,1107695686
캠핑_기타 캠핑용품,스노우피크 원액션로우테이블,"350,000",SALE,본인인증 회원,False,True,jang 캠핑,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695489,1107695489
캠핑_기타 캠핑용품,"캠폴아이스박스8,5리터 미개봉 선물받은거 안쓸거 같아서 판매 무료배송","15,500",SALE,인증+안전거래 회원,False,True,집안살림 정리중임,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695388,1107695388
캠핑_기타 캠핑용품,"Mr. Blade Eagle (미스터블레이드 이글) 캠핑나이프,  Aitor Botero Dagger","230,000",SALE,중고나라 회원,False,True,댕댕이까미,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694914,1107694914
캠핑_기타 캠핑용품,신규제작 바베큐그릴 입니다,"110,000",SALE,중고나라 회원,False,True,NEW부자,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693972,1107693972
캠핑_기타 캠핑용품,빈티지 다다 코펠 6인셋,"100,000",SALE,중고나라 회원,False,True,qaz1wdc,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693896,1107693896
캠핑_기타 캠핑용품,대물 매립용 파워뱅크 할인판매,"1,800,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693565,1107693565
캠핑_기타 캠핑용품,부쉬넬 프로X2 저렴히 판매합니다,"140,000",SOLD_OUT,중고나라 회원,True,False,이강rhrj,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693311,1107693311
캠핑_기타 캠핑용품,KC 안전인증 인산철 배터리 230A,"573,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693125,1107693125
캠핑_기타 캠핑용품,팅클 파워인버터 국내산 순수정현파 저렴하게 팝니다.​,"250,000",SALE,중고나라 회원,False,True,꺄륵쿠르쿠스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693109,1107693109
캠핑_기타 캠핑용품,헬리녹스 레그 12pcs,"190,000",SALE,본인인증 회원,False,True,jang 캠핑,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692924,1107692924
캠핑_기타 캠핑용품,크레모아 헤디2 팝니다.,"35,000",SALE,본인인증 회원,False,True,최수지,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692570,1107692570
캠핑_기타 캠핑용품,대물 올인원 파워뱅크 특가판매,"2,000,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692343,1107692343
캠핑_기타 캠핑용품,캠핑학교 에어펌프 + 헬키벨브,"30,000",ESCROW,인증+안전거래 회원,True,True,우퍼맨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692261,1107692261
캠핑_기타 캠핑용품,올뉴 더뉴 꼬리텐트 D4,"80,000",SOLD_OUT,본인인증 회원,True,False,내방구금메달,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692092,1107692092
캠핑_기타 캠핑용품,다이팩토리 280A 판매,"1,600,000",SALE,본인인증 회원,False,True,loved56,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691879,1107691879
캠핑_기타 캠핑용품,툴레 윙바엣지 9592,"150,000",SOLD_OUT,인증+안전거래 회원,True,False,kusin42,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691823,1107691823
캠핑_기타 캠핑용품,대물파워뱅크 6월 할인판매,"9,500,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691261,1107691261
캠핑_기타 캠핑용품,블루에티eb70판매합니다,"470,000",SOLD_OUT,중고나라 회원,False,False,지공육가이,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107691101,1107691101
캠핑_기타 캠핑용품,토요토미 옴니230 캠핑 난로(가격내림),"170,000",ESCROW,본인인증 회원,True,True,해맑은라니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107690462,1107690462
