카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_기타 캠핑카,포레스트카라반 정박형 전시용,"24,000,000",ESCROW,본인인증 회원,True,True,필구햄쓰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696465,1107696465
캠핑_기타 캠핑카,베일리 베가소수 카라반 판매팝니다!,"23,000,000",SALE,본인인증 회원,False,True,이현재크롱,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107695380,1107695380
캠핑_기타 캠핑카,아드리아 Adiva 512UP 도로 주행 로드형 카라반 팝니다. (500급 급처),"12,000,000",SALE,본인인증 회원,False,True,몽몽몽8754,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107687196,1107687196
캠핑_기타 캠핑카,크리스탈 무레아 정박 카라반,"11,000,000",SALE,본인인증 회원,False,True,짜라자라잔,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107685915,1107685915
캠핑_기타 캠핑카,지바코코넛2 봉고3 캠핑카 풀옵션 팜니다,"42,000,000",ESCROW,본인인증 회원,True,True,하이보올,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107677331,1107677331
캠핑_기타 캠핑카,6m급 중형 정박용 미국산 카라반! 컨디션 굿!,"14,000,000",SALE,본인인증 회원,False,True,에그빌,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107653687,1107653687
캠핑_기타 캠핑카,정박형 카라반 농촌체류형 쉼터 8미터급,"36,000,000",ESCROW,본인인증 회원,True,True,필구햄쓰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107648776,1107648776
캠핑_기타 캠핑카,"16년형 그랜드스타렉스 밴 세미캠핑카 (신규제작, 인산철300a) 전액할부가능!","28,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107645935,1107645935
캠핑_기타 캠핑카,렌트카정식등록된  캠핑카2대 매매,"8,400",SALE,본인인증 회원,False,True,혀비야,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107634881,1107634881
캠핑_기타 캠핑카,오버랜드칸 캠핑카 팝니다. 가격다운!,"4,650",SOLD_OUT,본인인증 회원,False,False,포도밭사내,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107633506,1107633506
캠핑_기타 캠핑카,주니스 어닝 모기장,"120,000",SOLD_OUT,본인인증 회원,False,False,귀공자백곰,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107628670,1107628670
캠핑_기타 캠핑카,르노 마스터20년식 2만8천KM 월든 프레스티지 SD3 옵션좋은 차량 급처 판매중!,"49,900,000",SOLD_OUT,본인인증 회원,True,False,ajdsifjjfff,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625879,1107625879
캠핑_기타 캠핑카,"20년식 13880km 스타모빌 st-5 풀옵션 (급매, 급처) 판매중","47,000,000",SOLD_OUT,본인인증 회원,True,False,ajdsifjjfff,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625565,1107625565
캠핑_기타 캠핑카,급매 팔로미니 미국식 카라반 179 판매합니다,"15,500,000",SALE,본인인증 회원,False,True,라라빠빠,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107625121,1107625121
캠핑_기타 캠핑카,CURT #17500 무게분산히치 팝니다,"850,000",ESCROW,본인인증 회원,True,True,HKMC,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107621060,1107621060
캠핑_기타 캠핑카,깨끗한 아드리아 알테아 카라반 600급 팝니다.,"30,000,000",SOLD_OUT,본인인증 회원,False,False,덜아이몽,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615335,1107615335
캠핑_기타 캠핑카,"툴레 하프로 팩라인 코토 일체형 루프박스 루프탑텐트 가로바 자전거캐리어 어닝 중고 판매,당일매입(상시 업데이트)","12,345",SALE,◆셀러회원◆,False,True,안양짐캐리어,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107615290,1107615290
캠핑_기타 캠핑카,정박형 카라반/농막 하부 프레임(바퀴달린프레임) 팝니다!!!,"3,000,000",ESCROW,본인인증 회원,True,True,Akram01,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107611979,1107611979
캠핑_기타 캠핑카,파세코 PKH - 4400 석유난로,"2,000",SALE,본인인증 회원,False,True,별이13579,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107609557,1107609557
캠핑_기타 캠핑카,"19년형 더뉴스타렉스3인승하이루프캠핑카(신규제작,인산철+온수매트+전체도색+정비끝)-전액할부됨","38,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107608017,1107608017
캠핑_기타 캠핑카,"21년형식 더 뉴 그랜드 스타렉스 2인승 하이루프 캠핑카(신규제작, 온수매트)전액할부가능!","38,800,000",SALE,◆셀러회원◆,False,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607793,1107607793
캠핑_기타 캠핑카,"15년 스타렉스하이루프3인승캠핑카(최고높은모델,인산철+온수매트,11만km)-전액할부됨","28,800,000",ESCROW,◆셀러회원◆,True,True,모든캠핑카 유튜브,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107607776,1107607776
