카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_텐트/타프/매트,신화 텐트레일러 라건 G3 폴딩 트레일러 판매합니다.,"3,000,000",SALE,중고나라 회원,False,True,대니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697384,1107697384
캠핑_텐트/타프/매트,카즈미 x1 블랙 에디션 텐트 한정판 팝니다. 서울,"150,000",ESCROW,본인인증 회원,True,True,enjoy your my life,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697221,1107697221
캠핑_텐트/타프/매트,코베아고스트플러스 탄컬러,"500,000",ESCROW,중고나라 회원,True,True,샤랄라랑,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694747,1107694747
캠핑_텐트/타프/매트,아이두젠 라운지 타프스크린 착탈 메쉬 그늘막 타프쉘 렉타 대형 블랙,"90,000",ESCROW,인증+안전거래 회원,True,True,콜로001,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694706,1107694706
캠핑_텐트/타프/매트,"힐맨 듀 에어 3인용 초경량 텐트, 새 제품 판매, 삼성 공기 청정기, 오토바이 장갑","2,222",ESCROW,본인인증 회원,True,True,파란하늘ㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694214,1107694214
캠핑_텐트/타프/매트,"힐맨 듀 에어 3인용 초경량 텐트, 새 제품 판매, 삼성 공기 청정기,","2,222",ESCROW,본인인증 회원,True,True,파란하늘ㅇ,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694110,1107694110
캠핑_텐트/타프/매트,제임스 바로드 루프탑 텐트,"1,390,000",SOLD_OUT,중고나라 회원,False,False,디펜더씨,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694079,1107694079
캠핑_텐트/타프/매트,바랑에르돔4-6(구형) + 그라운드시트,"900,000",SALE,본인인증 회원,False,True,플러스,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107694042,1107694042
캠핑_텐트/타프/매트,에르젠엘돔300웜그레이s3,"200,000",RESERVATION,중고나라 회원,False,True,코코미니,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107693450,1107693450
캠핑_텐트/타프/매트,코베아 코스트플러스 아이보리 판매나 교환원합니다,"500,000",ESCROW,본인인증 회원,True,True,고생끝에,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692775,1107692775
캠핑_텐트/타프/매트,제로그램 엘찰텐 프로2p 신형(미개봉),"500,000",SALE,중고나라 회원,False,True,madjo,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107692573,1107692573
