카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_PC 주변기기,삼성 SL-J2165W 프린터 판매,"25,000",SALE,본인인증 회원,False,True,왕코군,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697457,1107697457
컴퓨터_PC 주변기기,PPT용 스마트포인터 하이라이트2 팝니다 (발표 프리젠터 리모컨),"45,000",ESCROW,중고나라 회원,True,True,시트룰린,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697247,1107697247
컴퓨터_PC 주변기기,(가격인하) 데이터컬러 스파이더 x2 엘리트 (Spyder X2 Elite) 모니터 캘리브레이션 기기 판매,"235,000",ESCROW,인증+안전거래 회원,True,True,유니바디,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697135,1107697135
컴퓨터_PC 주변기기,[매입][삽니다] 윈도우11 10 DSP FPP.모든 한컴 홈앤비지니스 소프트웨어 최고가 구매 삽니다,"1,000,000",SALE,◆셀러회원◆,False,True,베스트코리아컴 BKC,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107697088,1107697088
컴퓨터_PC 주변기기,벨킨 썬더볼트3 플러스 독 도킹스테이션 (맥북 프로 등 썬더볼트4 USB4 호환),"92,000",ESCROW,중고나라 회원,True,True,NaverPayment,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696950,1107696950
컴퓨터_PC 주변기기,급매 로지텍 블루투스 키보드 mx mechanical for mac,"59,000",SALE,본인인증 회원,False,True,rlaw****,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696927,1107696927
컴퓨터_PC 주변기기,넷기어 오르비 Orbi RBR750 AX4200 공유기 2개 세트 판매 (라우터+새틀라이트) 메쉬 공유기,"150,000",ESCROW,중고나라 회원,True,True,NaverPayment,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696923,1107696923
컴퓨터_PC 주변기기,패브릭 마우스 패드 판매합니다,"5,000",SALE,중고나라 회원,False,True,사과였던,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696815,1107696815
컴퓨터_PC 주변기기,바밀로 판다 에디션 텐키리스 갈축 팝니다.,"80,000",SALE,중고나라 회원,False,True,xodbs0902,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696309,1107696309
컴퓨터_PC 주변기기,"인프라소닉 UFO 마이크,스텐드,팝필터","100,000",SALE,인증+안전거래 회원,False,True,ccdstudio,2025-06-05,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107696223,1107696223
