카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_PC 주요부품,"5950x, 삼성 16g 두개 총32기가 두개 일괄 택배비포함 34만원","340,000",SOLD_OUT,중고나라 회원,False,False,hiya105,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594627,1107594627
컴퓨터_PC 주요부품,AMD 라이젠 9800x3D + GIGABYTE X870E AORUS PRO 제이씨현_M,"1,000,000",SOLD_OUT,본인인증 회원,True,False,쿠루1234,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594318,1107594318
컴퓨터_PC 주요부품,AMD 라이젠7-5세대 7800X3D(라파엘)(정품) 1개 팝니다,"500,000",ESCROW,인증+안전거래 회원,True,True,프라임정,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594272,1107594272
컴퓨터_PC 주요부품,윈도우11 10 프로 홈 MS오피스 파워포인트 엑셀 워드 총알배송,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593991,1107593991
컴퓨터_PC 주요부품,ASUS TUF Z370-PLUS GAMING,"55,000",SOLD_OUT,중고나라 회원,False,False,사진좋아하는컴덕,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593766,1107593766
컴퓨터_PC 주요부품,삼성전자 일체형 PC 판매,"90,000",SALE,본인인증 회원,False,True,왕코군,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593741,1107593741
컴퓨터_PC 주요부품,[판매] 각종 소켓별 메인보드 최저가 판매. 수량 네고가능,"20,000",SALE,◆셀러회원◆,False,True,몬스터컴퓨터,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593736,1107593736
컴퓨터_PC 주요부품,갤럭시 rtx4090 sg white 판매,"3,450,000",SOLD_OUT,본인인증 회원,False,False,dwwwd33,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593641,1107593641
컴퓨터_PC 주요부품,i5-6400 cpu + ECS H110M4-C21 보드 세트,"25,000",ESCROW,인증+안전거래 회원,True,True,newcemi,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593635,1107593635
컴퓨터_PC 주요부품,인텔 i7 CPU + 메인보드 판매,"25,000",SALE,본인인증 회원,False,True,파란큐,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593423,1107593423
컴퓨터_PC 주요부품,SSD 하드 삼성 870evo 500g 팝니다,"60,000",SOLD_OUT,본인인증 회원,False,False,qkrtjsrms22,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593252,1107593252
컴퓨터_PC 주요부품,asus strix z370-f gaming 보드 팝니다,"50,000",SOLD_OUT,본인인증 회원,False,False,qkrtjsrms22,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593240,1107593240
컴퓨터_PC 주요부품,[미개봉] GIGABYTE 라데온 RX 9070 게이밍 OC 16G 그래픽카드 새제품 입니다.,"890,000",SALE,본인인증 회원,False,True,gravity86,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592934,1107592934
컴퓨터_PC 주요부품,이엠텍 RTX 4070TI AS 1년 남은 제품 팝니다.,"978,000",SALE,중고나라 회원,False,True,yuanying,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592882,1107592882
컴퓨터_PC 주요부품,삼성 갤럭시 버즈3 미개봉 팔아요,"85,000",SALE,중고나라 회원,False,True,배민조하,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592728,1107592728
컴퓨터_PC 주요부품,"[매입]채굴기 및 PC매입 .3060 3070 3080 3090 4090 채굴장,A4000,A5000,서버","10,000",SALE,◆셀러회원◆,False,True,잇츠 PC매입,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592366,1107592366
컴퓨터_PC 주요부품,윈도우11 10 프로 홈 MS오피스 파워포인트 엑셀 워드 총알배송,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592232,1107592232
컴퓨터_PC 주요부품,"[매입]채굴장 채굴기 VGA 그래픽카드 CPU,램,SSD,보드 부품 최고가삽니다.","2,000",SALE,◆셀러회원◆,False,True,아이즈컴,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591410,1107591410
컴퓨터_PC 주요부품,삼성 오디세이 게이밍 노트북 i7 48램 NT850XBW i7 9750H 팝니다 가격내림,"500,000",SOLD_OUT,본인인증 회원,True,False,개구리우유,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591262,1107591262
컴퓨터_PC 주요부품,ddr5 노트북 램 64g(32g x2) 팝니다,"180,000",SOLD_OUT,인증+안전거래 회원,False,False,메롱ㅠ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591256,1107591256
컴퓨터_PC 주요부품,redbit 240 argb 2열짭수 cpu 수냉 쿨러,"10,000",SOLD_OUT,본인인증 회원,False,False,다프트펑크짱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591108,1107591108
컴퓨터_PC 주요부품,삼성 860 EVO 250GB 256GB SSD 외 5개,"20,000",SALE,본인인증 회원,False,True,서울상도동 직거래,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590883,1107590883
컴퓨터_PC 주요부품,지포스 RTX 5080 기가바이트 AERO OC SFF 16G 제이씨헌,"1,800,000",RESERVATION_ESCROW,본인인증 회원,True,True,켄신88,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590524,1107590524
컴퓨터_PC 주요부품,inwin303 인윈303 미들타워 케이스 화이트,"40,000",SALE,본인인증 회원,False,True,다프트펑크짱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590352,1107590352
컴퓨터_PC 주요부품,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS 파트너 Benasoft,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589967,1107589967
컴퓨터_PC 주요부품,SilverStone SST-SX700-LPT 급처합니다.,"70,000",SALE,본인인증 회원,False,True,eogus7450,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589919,1107589919
컴퓨터_PC 주요부품,커세어 H115i ELITE RGB 수랭 쿨러 미개봉,"100,000",ESCROW,인증+안전거래 회원,True,True,버전5,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589895,1107589895
컴퓨터_PC 주요부품,스마트 터치 75인치 전자칠판+이동식스탠드,"1,800,000",SALE,중고나라 회원,False,True,순규1120,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589649,1107589649
컴퓨터_PC 주요부품,쿠거 다크섀도우i7 pc케이스 팝니다,"100,000",SALE,본인인증 회원,False,True,야채찐빵만두,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589475,1107589475
컴퓨터_PC 주요부품,"INNO3D 사 1660Ti 21년 10월 제조 모델 급처 합니다. 직거래,택배가능","90,000",SOLD_OUT,중고나라 회원,False,False,메롱킥,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589261,1107589261
컴퓨터_PC 주요부품,axle 지포스 gtx 1050ti 4gb 에즈윈 미개봉 팝니다,"130,000",SALE,본인인증 회원,False,True,쇼핑중독38,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589076,1107589076
컴퓨터_PC 주요부품,인텔 i5 10400f 팝니다,"75,000",SOLD_OUT,본인인증 회원,False,False,중고나라채팅알림 95,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589075,1107589075
컴퓨터_PC 주요부품,인텔 제온 E5-2673V4 (20코어/40쓰레드),"75,000",ESCROW,인증+안전거래 회원,True,True,오빠차화물차,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589059,1107589059
컴퓨터_PC 주요부품,(택포) 녹투아 NH-U9S 쿨러 [AM4/AM5 소켓],"45,000",ESCROW,인증+안전거래 회원,True,True,오빠차화물차,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588908,1107588908
컴퓨터_PC 주요부품,SSD WD PC SN740 1tb 팝니다,"70,000",SOLD_OUT,중고나라 회원,True,False,스라랄,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588817,1107588817
컴퓨터_PC 주요부품,DEEPCOOL CH160 화이트 케이스 미개봉,"50,000",SOLD_OUT,중고나라 회원,False,False,현진건의럭키데이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588714,1107588714
컴퓨터_PC 주요부품,14900K 미개봉 정품,"530,000",SALE,인증+안전거래 회원,False,True,츄잉NPC,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588535,1107588535
컴퓨터_PC 주요부품,인텔 펜티엄3 듀얼보드 SE7520JR2,"150,000",SALE,중고나라 회원,False,True,바다에살고싶다,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588467,1107588467
컴퓨터_PC 주요부품,리안리 UNI FAN SL-INF 120 RGB 화이트 1pack 1개,"25,000",SALE,본인인증 회원,False,True,사월이 지나면,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588327,1107588327
컴퓨터_PC 주요부품,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS파트너 Benasoft,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588076,1107588076
컴퓨터_PC 주요부품,마이크로닉스 파워 ATX 500W 퍼포먼스,"2,344",SALE,중고나라 회원,False,True,새마음이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587940,1107587940
