카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_기타,독거미 풀배열 F108 저소음솜사탕 스카이블루,"70,000",SALE,중고나라 회원,False,True,코쿠넛,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589430,1107589430
컴퓨터_기타,키크론 k2 pro 판매,"60,000",ESCROW,본인인증 회원,True,True,우와,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582266,1107582266
컴퓨터_기타,[삽니다]오토캐드 AUTO CAD 영구제 CD 구합니다 가격조정가능해요 연락주세여,"1,000,000",ESCROW,중고나라 회원,True,True,미터당,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107581080,1107581080
컴퓨터_기타,유통포스 판매합니다,"530,000",SALE,중고나라 회원,False,True,볼지혜,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107580896,1107580896
컴퓨터_기타,(부산)ChargeGo 22.5W 보조배터리 새상품,"13,000",SALE,본인인증 회원,False,True,tekkyun7,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578673,1107578673
컴퓨터_기타,5080 아스트랄 팝니다,"2,000,000",SALE,본인인증 회원,False,True,ray1862,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577750,1107577750
컴퓨터_기타,게이밍 키보드 마우스 일괄 판매합니다~!!,"35,000",ESCROW,중고나라 회원,True,True,88884444,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577361,1107577361
컴퓨터_기타,"회전형 데스크 팔거치대, 팔 받침대, 마우스 패드 팔걸이, 손목보호 리프트형 2개","40,000",SALE,중고나라 회원,False,True,해처럼 빛나리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576757,1107576757
컴퓨터_기타,삼성 프린터 잉크 C180 판매,"18,000",SOLD_OUT,인증+안전거래 회원,True,False,148,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575640,1107575640
컴퓨터_기타,RSC-RR1U-E8 1U PCI-E x8 라이저 카드 팝니다,"10,000",SALE,본인인증 회원,False,True,킹콩모스라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575164,1107575164
컴퓨터_기타,"MR SAS 9271-4i  레이드 컨트롤러,RAID","40,000",SALE,본인인증 회원,False,True,킹콩모스라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574935,1107574935
컴퓨터_기타,AOC-S3108L-H8iR-16DD 슈퍼마이크로 레이드카드 팝니다. SAS RAID 컨트롤러 Supermicro,"85,000",SOLD_OUT,본인인증 회원,False,False,킹콩모스라,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107574779,1107574779
컴퓨터_기타,abs 필라멘트 8000원,"8,000",SALE,본인인증 회원,False,True,육육육육,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107573788,1107573788
컴퓨터_기타,지스타 캐드 2024 스탠다드 영구 라이센스,"450,000",RESERVATION,중고나라 회원,False,True,콜트,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572008,1107572008
컴퓨터_기타,Gamesir Cyclone2 싸이클론2 택포팝니다,"33,000",SOLD_OUT,본인인증 회원,False,False,란숑,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107568050,1107568050
컴퓨터_기타,인터맥 핸드마킹기 라벨기 각인기,"200,000",SOLD_OUT,중고나라 회원,False,False,키다리234,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107567727,1107567727
컴퓨터_기타,챗GPT PRO 1일 체험 모션요,"15,000",ESCROW,중고나라 회원,True,True,쿠키,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565188,1107565188
컴퓨터_기타,HP 레이저프린터 재생토너 미개봉 팔아요,"5,000",SALE,본인인증 회원,False,True,체인져X7,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565010,1107565010
컴퓨터_기타,복사기토너판매합니다(신도리코 D400 빨강.노랑),"200,000",SALE,중고나라 회원,False,True,sindo4400,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564546,1107564546
컴퓨터_기타,프린터토너판매합니다(신도리코Q416.Q411 검정토너),"200,000",SALE,중고나라 회원,False,True,sindo4400,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564513,1107564513
컴퓨터_기타,도메인 MARBLE.CO.KR 팝니다.,"3,000,000",ESCROW,본인인증 회원,True,True,바라바라09,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564466,1107564466
컴퓨터_기타,프린터토너판매합니다(신도리코Q416.Q411 노랑색토너),"150,000",SALE,중고나라 회원,False,True,sindo4400,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564457,1107564457
