카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_노트북,빅터스 게이밍노트북 15-FB2121AX (RTX3050),"2,222",SALE,본인인증 회원,False,True,kongjing57463,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594563,1107594563
컴퓨터_노트북,[급매]삼성 갤럭시북2 프로 새상품 미개봉 판매합니다.,"500,000",SALE,중고나라 회원,False,True,삼십댕,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594458,1107594458
컴퓨터_노트북,[매입] 노트북 매입 가격 무조건↑UP (삼성/LG/애플/msi/아수스/서피스/기가바이트/Dell),"3,070,000",ESCROW,◆셀러회원◆,True,True,매입 전문 WORLDCOM,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594256,1107594256
컴퓨터_노트북,[미개봉] 레노버 아이디어패드 Slim5 16IRH10 i5 판매,"750,000",SOLD_OUT,본인인증 회원,True,False,후루시다지오,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594117,1107594117
컴퓨터_노트북,<판매완료> 삼성 노트복 Pen-S 360 i7 터치스크린,"2,000",SOLD_OUT,중고나라 회원,False,False,보라빛 황소,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593941,1107593941
컴퓨터_노트북,삼성 갤럭시북3프로 NT960XFG-KC51G 노트북 판매합니다,"880,000",SALE,◆셀러회원◆,False,True,노트존,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593144,1107593144
컴퓨터_노트북,삼성전자 갤럭시북4프로 NT960XGK-KC71S 울트라7 노트북판매합니다,"1,200,000",SALE,◆셀러회원◆,False,True,노트씨앤시,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592993,1107592993
컴퓨터_노트북,노트북 팝니다 LG GRAM,"2,000,000",SALE,중고나라 회원,False,True,camako,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592826,1107592826
컴퓨터_노트북,에일리언웨어 15 r3 게이밍 노트북,"440,000",SALE,중고나라 회원,False,True,허다하닝,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592447,1107592447
컴퓨터_노트북,[매입]미개봉 단순개봉 중고 노트북 맥북 삼성 엘지 기업체대량 매입 게이밍노트북 전국24시,"2,000,000",ESCROW,◆셀러회원◆,True,True,노트북매입전문,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592276,1107592276
컴퓨터_노트북,[매입]24시간 m4max m3max m4 m3pro 매입,"1,000,000",SALE,◆셀러회원◆,False,True,다사요24 01058355451,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592034,1107592034
컴퓨터_노트북,레노버 리전 5i 15IRX9 판매합니다,"1,100,000",SOLD_OUT,중고나라 회원,False,False,말랑젤리리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591783,1107591783
컴퓨터_노트북,"(부품용, 택포) MacBook Pro 맥북프로 15인치 A1707","150,000",SOLD_OUT,중고나라 회원,False,False,댕글댕글댕글댕,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591357,1107591357
컴퓨터_노트북,2025맥북 에어 15 512GB 미드나이트 미개봉,"2,000,000",SALE,본인인증 회원,False,True,미니마누,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590985,1107590985
컴퓨터_노트북,2025 맥북에어 13 512gb 미드나이트 미개봉,"1,700,000",SALE,본인인증 회원,False,True,미니마누,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590959,1107590959
컴퓨터_노트북,[매입] 게이밍 노트북 고가 매입 RTX 3060 이상 모델 집중,"3,070,000",ESCROW,◆셀러회원◆,True,True,매입 전문 WORLDCOM,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590622,1107590622
컴퓨터_노트북,LG그램16인치 16ZD90P 16GB 노트북 판매합니다,"680,000",SALE,◆셀러회원◆,False,True,노트존,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590283,1107590283
컴퓨터_노트북,Apple 맥북프로14 M3 11Core MRX33KH/A 판매합니다,"1,780,000",SALE,◆셀러회원◆,False,True,노트씨앤시,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590015,1107590015
컴퓨터_노트북,(풀박) m3 맥북 에어 15인치 16g / 512g 스타라이트 판매,"1,400,000",SOLD_OUT,인증+안전거래 회원,False,False,adorama,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589723,1107589723
컴퓨터_노트북,[판매]LG 울트라기어GT i7 게이밍 노트북/GTX1050,"480,000",ESCROW,◆셀러회원◆,True,True,섭이네IT,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589506,1107589506
컴퓨터_노트북,갤럭시북4울트라9 최고사양 NT960XGL-X94A 판매합니다 (터치스크린 / 2테라 / 64기가램 / 배터리상태 우수),"2,390,000",SOLD_OUT,본인인증 회원,False,False,레브리안,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589270,1107589270
컴퓨터_노트북,[매입]맥북 미개봉 단순개봉 그램 게이밍 테블릿 노트북 24시간출장방문 IT기기 현금매입,"3,000,000",ESCROW,◆셀러회원◆,True,True,노트북매입전문,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589194,1107589194
컴퓨터_노트북,"상태 좋은, 맥북프로 M1 pro 16인치 (실버) 판매합니다!","1,250,000",SALE,중고나라 회원,False,True,pmw0204,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589043,1107589043
컴퓨터_노트북,애플 맥북 프로 16인치 m3 pro 18gb 512gb / 14인치나 15인치 교환 가능,"1,999,000",ESCROW,인증+안전거래 회원,True,True,cashper231,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588120,1107588120
컴퓨터_노트북,HP 빅터스 15-fb2061AX 게이밍 노트북 RTX4060 미개봉,"899,000",ESCROW,인증+안전거래 회원,True,True,cashper231,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587919,1107587919
컴퓨터_노트북,"삼성 노트북 프로9 (NT930Z5L-X716) 상급 (박스보유, 45만원, 택포)","450,000",SALE,본인인증 회원,False,True,초심,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587662,1107587662
컴퓨터_노트북,[매입] 삼성갤럭시북 울트라 LG그램 맥북 24시간 총알매입,"1,000,000",SALE,◆셀러회원◆,False,True,다사요24 01058355451,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587402,1107587402
컴퓨터_노트북,[단순개봉]LG전자 2025 그램 프로17 노트북 판매합니다,"1,480,000",SALE,◆셀러회원◆,False,True,노트존,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586906,1107586906
컴퓨터_노트북,MSI 초슬림 노트북 크리에이터 M16 B13VF-i9 (i9-13900H/RTX4060/QHD+),"1,350,000",SOLD_OUT,중고나라 회원,False,False,슬 하,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586613,1107586613
컴퓨터_노트북,레노바 i3 5세대 노트북,"60,000",SOLD_OUT,본인인증 회원,False,False,둘희동이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586394,1107586394
컴퓨터_노트북,[매입] 노트북 중고 긴급 매입 합니다 (성능/외관 무관),"3,070,000",ESCROW,◆셀러회원◆,True,True,매입 전문 WORLDCOM,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586121,1107586121
컴퓨터_노트북,맥북프로 2018 15인치 터치바 i7 6코어 16GB 256GB 스페이스그레이,"480,000",SALE,중고나라 회원,False,True,JYK0815,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585947,1107585947
컴퓨터_노트북,리전고 정발 2TB,"630,000",SOLD_OUT,본인인증 회원,True,False,사기검거5회,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585944,1107585944
컴퓨터_노트북,맥북프로 M2 Pro 16인치 12 CPU 19 GPU 16GB/512GB,"1,870,000",SALE,중고나라 회원,False,True,JYK0815,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585914,1107585914
컴퓨터_노트북,[매입]그램 삼성 NT961XGL-X02/C HP 맥북 델 아수스 PC 게이밍노트북 출장방문매입,"2,500,000",ESCROW,◆셀러회원◆,True,True,노트북매입전문,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585740,1107585740
컴퓨터_노트북,lg울트라북 엣지 16UD70R-HX56K (풀박스),"600,000",SOLD_OUT,본인인증 회원,True,False,작은비눗방울,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585651,1107585651
컴퓨터_노트북,"[게이밍 노트북]ASUS ROG STRIX G17 G713RM-LL121 (17.3인치,주사율240hz,응답속도3ms,라이젠7,램24GB,해상도: WQHD (2560 x 1440),IPS패널).","1,100,000",SALE,본인인증 회원,False,True,꽉꽉이ㅠ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585467,1107585467
컴퓨터_노트북,레노버 아이디어패드 슬림3 16ABR8 미개봉,"450,000",SALE,인증+안전거래 회원,False,True,Retraction,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585463,1107585463
컴퓨터_노트북,맥북프로(MacBook Pro) 14인치 Apple M1 Max 스페이스 그레이 급처,"1,500,000",SALE,중고나라 회원,False,True,KKKOAM,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585061,1107585061
컴퓨터_노트북,삼성 아티브북9 lite 노트북,"80,000",SALE,본인인증 회원,False,True,변동,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584546,1107584546
컴퓨터_노트북,삼성 갤럭시북 4 프로(NT940XGQ-A71A) 판매합니다.,"800,000",SALE,본인인증 회원,False,True,주야호야,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583961,1107583961
컴퓨터_노트북,[가격인하] 삼성 노트북 10세대 i5 상태 A급 NT551XCJ,"330,000",SALE,◆셀러회원◆,False,True,몬스터컴퓨터,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583237,1107583237
컴퓨터_노트북,레노버 리전 프로 7i RTX4080 i9 게이밍 노트북 판매합니다,"2,480,000",SALE,◆셀러회원◆,False,True,노트존,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583209,1107583209
컴퓨터_노트북,삼성 NT270B5E-K03/C 팝니다,"60,000",SALE,중고나라 회원,False,True,리퍼브팩,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583171,1107583171
컴퓨터_노트북,Apple 맥북프로16 M3 Pro 12Core MRW43KH/A 판매합니다,"2,380,000",SALE,◆셀러회원◆,False,True,노트씨앤시,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582733,1107582733
컴퓨터_노트북,맥북프로 m2 16램 512팝니다,"1,200,000",SOLD_OUT,본인인증 회원,True,False,풍빵샹석,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107582279,1107582279
