카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_데스크탑,특가 13만원/인텔 8100 9100 8400 8500 9400f 9500 9600k 8700 8700k 9700 9700k 사무용 컴퓨터 조립pc 조립컴퓨터 게이밍컴퓨터,"130,000",SALE,◆셀러회원◆,False,True,씨엔제이시스템,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594445,1107594445
컴퓨터_데스크탑,"현재 가성비 최고 6세대,7세대 최저가판매합니다 사무용, 게임용, 작업용","110,000",SALE,◆셀러회원◆,False,True,몬스터 컴,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594127,1107594127
컴퓨터_데스크탑,특가 40만원/ 라이젠 8500g 8600g 8700g 9600 9600x 9700x 9800x3d 9900x 9950x 9950x3d 다계정 광고pc 조립 컴퓨터 조립pc 게이밍컴퓨터 영상편집,"400,000",SALE,◆셀러회원◆,False,True,씨엔에이시스템,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593877,1107593877
컴퓨터_데스크탑,삼성전자 일체형 PC 판매,"90,000",SALE,본인인증 회원,False,True,왕코군,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593732,1107593732
컴퓨터_데스크탑,(직거래만) 게이밍 컴퓨터 본체 i7 6700 // gtx 1060 6G // 램16 // SSD 250GB/ HDD 1TB,"270,000",SOLD_OUT,본인인증 회원,False,False,인베르만,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593449,1107593449
컴퓨터_데스크탑,"[최저가 170,000원] 라이젠 5950X / 5900X / 5800X / 5700X / 5600X / 5600 / 3900X / 3700X / 2700X / 1700X 사무용 게임용 작업용 추천 PC 컴퓨터 작업장","170,000",SALE,◆셀러회원◆,False,True,블루피씨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593353,1107593353
컴퓨터_데스크탑,"[할인가 95,000원 ] 인텔 7700K 7700 7500 6700 6500 6100 사무실 성인게임장 작업장 컴퓨터 사무용 업무용 작업용","95,000",SALE,◆셀러회원◆,False,True,피시덕,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592861,1107592861
컴퓨터_데스크탑,특가 36.5만원/ 라이젠 7500f 7600 7600x 7700 7700x 7800x3d 7900 7900x 7950x 7950x3d 다계정 광고pc 조립pc 조립컴퓨터 게이밍 컴퓨터 디자이너영상편집,"365,000",SALE,◆셀러회원◆,False,True,씨엔제이시스템,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592285,1107592285
컴퓨터_데스크탑,[판매] 사무용컴퓨터 게임용컴퓨터 방송용컴퓨터,"150,000",SALE,◆셀러회원◆,False,True,ES컴퓨터 문의,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592023,1107592023
컴퓨터_데스크탑,특가 36.5만원/ 라이젠 7500f 7600 7600x 7700 7700x 7800x3d 7900 7900x 7950x 7950x3d 다계정 광고pc 조립pc 조립컴퓨터 게이밍 컴퓨터 디자이너영상편집,"365,000",SALE,◆셀러회원◆,False,True,씨엔에이시스템,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591716,1107591716
