카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
키덜트_굿즈/보드게임,홀로라이브 시라카미 후부키 레터 누이구루미 판매합니다,"45,000",SALE,본인인증 회원,False,True,김톱사슴벌레,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592486,1107592486
키덜트_굿즈/보드게임,포켓몬스터 카드 테라스탈 페스타 이브이 케이크 brg 9등급,"37,000",SOLD_OUT,인증+안전거래 회원,True,False,스포츠카드전문상점,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591243,1107591243
키덜트_굿즈/보드게임,스타벅스 대만 베어리스타 컵클립 피규어 5종 세트,"39,000",SALE,중고나라 회원,False,True,블루빙고,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591130,1107591130
키덜트_굿즈/보드게임,USJ 유니버셜 마리오밴드  해리포터지팡이 마리오모자,"35,000",SOLD_OUT,본인인증 회원,False,False,삐용쑥쑥,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589896,1107589896
키덜트_굿즈/보드게임,(새상품) 초성 도미노 학습 보드게임 선물추천 !,"22,000",SOLD_OUT,중고나라 회원,False,False,bsmomm,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587923,1107587923
키덜트_굿즈/보드게임,"검은수녀들 오리지널티켓, 스페셜티켓","7,000",SALE,본인인증 회원,False,True,aqhaqk,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586645,1107586645
키덜트_굿즈/보드게임,kbo크보카드 팀별 일괄 판매합니다,"10,000",SALE,본인인증 회원,False,True,juun5,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585958,1107585958
키덜트_굿즈/보드게임,아드레날린 피파365 카드 풀세트 (바인더 포함) 팝니다,"53,000",SALE,본인인증 회원,False,True,테니스고고싱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584093,1107584093
키덜트_굿즈/보드게임,원피스 15주년 기념 A4 클리어파일/L홀더,"10,000",SALE,본인인증 회원,False,True,먼지송이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583538,1107583538
키덜트_굿즈/보드게임,잇츠데모/이츠데모 카드캡터 사쿠라/체리 다이컷 마스킹테이프,"20,000",SALE,본인인증 회원,False,True,먼지송이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583491,1107583491
