카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
한정판_이지&아디다스,아디다스 오리지날 트로피컬 반팔 티셔츠 L,"55,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590098,1107590098
한정판_이지&아디다스,아디다스 이지슬라이드 숫 305,"400,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590076,1107590076
한정판_이지&아디다스,아디다스 오리지날 울트라부스트 검보 285,"300,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590057,1107590057
한정판_이지&아디다스,[265] 아디다스 이지 450 다크 슬레이트 아코탭 새상품,"230,000",SALE,본인인증 회원,False,True,BLACKBLVCKBLXCK,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107579992,1107579992
한정판_이지&아디다스,[275] 아디다스 슈퍼스타 화이트 블랙,"80,000",SALE,본인인증 회원,False,True,아메리칸메식,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107576512,1107576512
한정판_이지&아디다스,아디다스 이지 폼러너 mx 신더,"180,000",SALE,본인인증 회원,False,True,아르테1204,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107548762,1107548762
한정판_이지&아디다스,아디다스 x 베이프 슈퍼스타 빈티지 블루,"209,000",SALE,중고나라 회원,False,True,tp1ks,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107544488,1107544488
한정판_이지&아디다스,[270]이지부스트 350 V2 본 판매합니다.,"390,000",ESCROW,중고나라 회원,True,True,fooa222,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107516969,1107516969
한정판_이지&아디다스,아디다스 울트라부스트 언케이지드 블랙그라데이션 285 [새상품],"160,000",SALE,중고나라 회원,False,True,s이이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107513337,1107513337
한정판_이지&아디다스,아디다스 오리지널스 POD 트래픽워든 280 [새상품],"90,000",SALE,중고나라 회원,False,True,s이이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107513238,1107513238
한정판_이지&아디다스,아디다스 송포더뮤트 쉐도우터프,"100,000",SALE,본인인증 회원,False,True,정민이래,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107498735,1107498735
한정판_이지&아디다스,(275) 아디다스 스포티 앤 리치 삼바,"160,000",SALE,본인인증 회원,False,True,더위사냥커피,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107496264,1107496264
한정판_이지&아디다스,(270) 아디다스 우먼스 슈퍼스타 헬로키티 블루 9만원,"90,000",SALE,본인인증 회원,False,True,더위사냥커피,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107496248,1107496248
한정판_이지&아디다스,"(235,240) 아디다스 스포티 앤 리치 스페지알 핸드볼 팬톤 8만원","80,000",SALE,본인인증 회원,False,True,더위사냥커피,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107496229,1107496229
한정판_이지&아디다스,(235) 아디다스 스페지알 핸드볼 알루미늄,"100,000",SALE,본인인증 회원,False,True,더위사냥커피,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107496203,1107496203
