카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_기타,"균일가) 블로거 디테 처분, 블로거 박테, 대폭, 디테컷 (Kong,크림피치,벨에포크,시월토끼,진아,또하,채채 등)","3,000",SALE,본인인증 회원,False,True,꾸뀨s,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594598,1107594598
홈/생활용품_기타,"유명작가님 씰스 믹스, 씰스티커 대량 처분, 칼선 스티커","324,000",SALE,본인인증 회원,False,True,꾸뀨s,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594573,1107594573
홈/생활용품_기타,네투노 슈페르바 만년필,"500,000",SALE,인증+안전거래 회원,False,True,사랑해,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594544,1107594544
홈/생활용품_기타,무인매장 휀스 진열대 메쉬 진열대,"50,000",SALE,본인인증 회원,False,True,김퍼플,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594412,1107594412
홈/생활용품_기타,단종된 노리다케 로즈 파티오 판매,"2,000",SALE,본인인증 회원,False,True,이뿐이에용,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594352,1107594352
홈/생활용품_기타,단종된 레어 홍차잔 노리다케,"2,000",SALE,본인인증 회원,False,True,이뿐이에용,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594239,1107594239
홈/생활용품_기타,"메쉬 후크 크롬 걸이 20cm 30개당 3만원 가격표시, 망 후크, 휀스망, 가격 꽂이, 2선망 후크","30,000",SALE,본인인증 회원,False,True,김퍼플,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594131,1107594131
홈/생활용품_기타,환기타임 위닉스용,"35,000",SALE,인증+안전거래 회원,False,True,fdphvezt,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594102,1107594102
홈/생활용품_기타,(미개봉신상품) zorn 독일 조른 차량용 26L 대용량 냉장고 팝니다.,"65,000",SALE,중고나라 회원,False,True,berton273,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594026,1107594026
홈/생활용품_기타,미사용 새상품 알루미늄 블라인드 몽블랑화이트 370X1015,"35,000",ESCROW,본인인증 회원,True,True,nkbeck,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593843,1107593843
홈/생활용품_기타,러버메이드 0.2리터 소형 스쿱  서울양천구,"4,000",ESCROW,인증+안전거래 회원,True,True,열심열심히123,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593686,1107593686
홈/생활용품_기타,"도쿄밀크치즈팩토리(10, 30개입)","20,000",SALE,인증+안전거래 회원,False,True,Antarcticfish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593352,1107593352
홈/생활용품_기타,"고디바 펄 초콜렛(밀크, 다크, 트리오세트)","7,500",SALE,인증+안전거래 회원,False,True,Antarcticfish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593337,1107593337
홈/생활용품_기타,(일본과자) 만난라이프 곤약젤리(컵 파우치),"4,000",SALE,인증+안전거래 회원,False,True,Antarcticfish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593327,1107593327
홈/생활용품_기타,걸스카우트 나일론 메탈 벌룬 팬츠 블랙,"25,000",SALE,중고나라 회원,False,True,끄앙뚜르,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593129,1107593129
홈/생활용품_기타,베트남 침향 아파스골드 침향 한박스입니다,"650,000",ESCROW,인증+안전거래 회원,True,True,행복한아로미,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592989,1107592989
홈/생활용품_기타,사가미 0.01/001 5개입,"16,000",ESCROW,중고나라 회원,True,True,녕냥오,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592614,1107592614
홈/생활용품_기타,<흠있음> 스타벅스 서머 스탠리 플로우 콜드컵 텀블러 택포 가격,"54,000",SALE,본인인증 회원,False,True,트러스트킹,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592168,1107592168
홈/생활용품_기타,새상품)스타벅스 베어리스타 파우치 키링,"10,000",SALE,인증+안전거래 회원,False,True,salfev,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591950,1107591950
