카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_문구/사무용품,오로라 인터나지오날 그린 B닙,"600,000",SOLD_OUT,본인인증 회원,False,False,customs1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594309,1107594309
홈/생활용품_문구/사무용품,펠리칸m805슈트레제만,"550,000",SOLD_OUT,본인인증 회원,False,False,customs1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593825,1107593825
홈/생활용품_문구/사무용품,"믹스)순정애니 스티커.굿즈.애니인스컷(충견군,너에게닿기를 등)","2,000",SALE,인증+안전거래 회원,False,True,믹스는믹스로만판매,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593485,1107593485
홈/생활용품_문구/사무용품,"믹스)고전애니 스티커.굿즈.애니인스컷(슈퍼갤즈,xxx홀릭 등)","2,000",SALE,인증+안전거래 회원,False,True,믹스는믹스로만판매,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593082,1107593082
홈/생활용품_문구/사무용품,펜텔 블랙폴리머 999. 경도 H,"100,000",SALE,인증+안전거래 회원,False,True,andrewkj,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592043,1107592043
홈/생활용품_문구/사무용품,재단기 에바55,"12,345",SALE,본인인증 회원,False,True,남산수수,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590798,1107590798
홈/생활용품_문구/사무용품,로얄퍼플 방석 심플리,"70,000",SALE,중고나라 회원,False,True,코닉츄,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589300,1107589300
홈/생활용품_문구/사무용품,"다꾸/마스킹 테이프/마테 11개 일괄 3,000원","3,000",ESCROW,중고나라 회원,True,True,털복숭이댕댕이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588598,1107588598
홈/생활용품_문구/사무용품,판매완료,"123,123",SOLD_OUT,인증+안전거래 회원,True,False,러스트기어,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588454,1107588454
홈/생활용품_문구/사무용품,세일러 프로기어 스텔라 블랙홀 21K 만년필,"280,000",SALE,본인인증 회원,False,True,레몬민트,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587609,1107587609
홈/생활용품_문구/사무용품,호보니치 윅스 패딩턴 4월 시작,"2,800",SOLD_OUT,중고나라 회원,False,False,Richt,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586750,1107586750
홈/생활용품_문구/사무용품,[미개봉] 카카오프렌즈 튜브 삼각파우치,"7,000",SALE,본인인증 회원,False,True,당근오렌지귤,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586381,1107586381
홈/생활용품_문구/사무용품,몽블랑 한정판 볼펜 4가지,"100,000",SALE,중고나라 회원,False,True,goldgym6374,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584950,1107584950
