카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_욕실용품,페리오 튜브형치약 4g 2000개 판매합니다.,"55,000",SOLD_OUT,중고나라 회원,False,False,usai,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591827,1107591827
홈/생활용품_욕실용품,"러쉬 고빅기프트(빅샴푸,빅프레스드컨디셔너,씨스프레이,파우치)","51,000",SALE,중고나라 회원,False,True,똑똑이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586705,1107586705
홈/생활용품_욕실용품,"리큐얼룩제거세제, 퓨라온7종효소세제 팝니다","8,000",ESCROW,중고나라 회원,True,True,케이닠,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107584318,1107584318
홈/생활용품_욕실용품,일산 양변기교체 세면기교체 욕조교체 돔천장 도기세팅 합니다,"100,000",SALE,중고나라 회원,False,True,일산전문가,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107583946,1107583946
홈/생활용품_욕실용품,아베다 로즈메리 민트 샴푸 / 르네휘테르 포티샤 샴푸 / 록시땅 시어버터 비누 / THREE 쓰리 오더레인지 샴푸 / 키엘 레어 어스 딥 포어 파우더 클렌저,"2,222",SALE,본인인증 회원,False,True,무응답과비매너는차단,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578790,1107578790
홈/생활용품_욕실용품,새상품)러쉬 수퍼밀크 해피히피 더티스프링워시 아메리칸크림 올리브브랜치 바이올렛크림 인터갈락티 허니아이워쉬드 더키즈,"35,000",SALE,중고나라 회원,False,True,iouup,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107578344,1107578344
홈/생활용품_욕실용품,새상품 AUTISTAR 규조토 고양이 발매트,"6,000",SALE,인증+안전거래 회원,False,True,노믹,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107577737,1107577737
홈/생활용품_욕실용품,귀여운 칫솔살균기 판매합니다!,"8,000",ESCROW,본인인증 회원,True,True,대츠노노,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107575251,1107575251
홈/생활용품_욕실용품,[개인] 로얄앤코 양변기시트 RS601 미사용 새제품 판매합니다.,"12,000",SALE,본인인증 회원,False,True,lmu02,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107572503,1107572503
홈/생활용품_욕실용품,녹용 한방미용비누(10개),"23,000",ESCROW,본인인증 회원,True,True,하동며느리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107571451,1107571451
홈/생활용품_욕실용품,샤워기헤드 세트 새상품,"12,000",SALE,인증+안전거래 회원,False,True,stkk4444,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107570245,1107570245
홈/생활용품_욕실용품,디월트 터프시스템 2.0 공구함&서랍형2개,"480,000",SALE,본인인증 회원,False,True,뱅애돔,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107569813,1107569813
홈/생활용품_욕실용품,도루코 Pace7 II 날면도기 헤드+면도날+쉐이빙폼,"10,000",SALE,인증+안전거래 회원,False,True,DaihatsuCP,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107569307,1107569307
홈/생활용품_욕실용품,영구크린 샤워핏 멀티 필터샤워기 기본세트 새상품 싸게 팝니다. ( 채팅 X ),"85,000",SALE,중고나라 회원,False,True,jfrrf,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107567434,1107567434
홈/생활용품_욕실용품,행남사,"200,000",SALE,본인인증 회원,False,True,목련화사랑,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107565885,1107565885
홈/생활용품_욕실용품,도기질 내장 타일,"10,000",SOLD_OUT,중고나라 회원,False,False,동아donga,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564493,1107564493
홈/생활용품_욕실용품,질레트 프로글라이드 파워 면도날 16입 새상품,"2,222",SOLD_OUT,중고나라 회원,False,False,리라릴리루,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107564273,1107564273
홈/생활용품_욕실용품,질레트 프로글라이드 면도날 12입 새상품(택포),"38,000",SALE,중고나라 회원,False,True,리라릴리루,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107562836,1107562836
홈/생활용품_욕실용품,질레트 프로쉴드 옐로우 면도날 16입 새상품(택포),"53,000",SALE,중고나라 회원,False,True,리라릴리루,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107562800,1107562800
홈/생활용품_욕실용품,[새상품] 이솝 레저렉션 아로마틱 핸드워시,"39,000",SOLD_OUT,본인인증 회원,True,False,자전걱거,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107560590,1107560590
홈/생활용품_욕실용품,욕실 부분 리모델링(천장 교체)_간접등 천정,"600,000",SALE,중고나라 회원,False,True,헐몰라몰라헐,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107559991,1107559991
