카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_주방용품,스타우브 냄비 돼지 그레이,"170,000",SALE,인증+안전거래 회원,False,True,세이지녹차,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594648,1107594648
홈/생활용품_주방용품,라인호빵수세미,"14,000",SALE,본인인증 회원,False,True,so seck,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594111,1107594111
홈/생활용품_주방용품,도넛수세미판매(10개가격&색상랜덤),"12,000",SALE,본인인증 회원,False,True,so seck,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594105,1107594105
홈/생활용품_주방용품,"위즈웰 컨벡션 오븐 28L + 럭셀 핸드믹서 + 베이킹도구(틀, 깍지 등)","70,000",SALE,인증+안전거래 회원,False,True,BLUECAT0,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594015,1107594015
홈/생활용품_주방용품,기펠 프레시안 3in1 도마 4P 새상품,"8,000",SALE,인증+안전거래 회원,False,True,fdphvezt,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593846,1107593846
홈/생활용품_주방용품,"빌보 버지니아, 로얄알버트,이딸라,레녹스,앤슬리, VBC CASA 까사, 노리다케 햄프셔 골드,명인유기 5인 반상기 세트,김경수 유기접시 ,석봉 조무호 청자 운학문주병,남송 박강용 옻칠 다기-군포시","33,333",SALE,중고나라 회원,False,True,산본성룡,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593715,1107593715
홈/생활용품_주방용품,저렴~ 앤틱 프랑스 하빌랜드,"50,000",SALE,중고나라 회원,False,True,rebornantique,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593608,1107593608
홈/생활용품_주방용품,빌레로이앤보흐 아르테사노 샐러드 서버,"35,000",ESCROW,중고나라 회원,True,True,처나너,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593048,1107593048
홈/생활용품_주방용품,바이타믹스 E320 거의 새 제품,"410,000",SOLD_OUT,중고나라 회원,False,False,80sphan,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592868,1107592868
홈/생활용품_주방용품,스타벅스 북미 키체인 밸런타인 리유저블 스토퍼 뚜껑 마개 클립 파트너 키링 스트랩 핑크 리본 스토조 텀블러 일본 애니버서리 미니컵 기프트 세트 일본 할로윈 마개 세트 베어리스타 피너츠 스누피,"2,025",SALE,중고나라 회원,False,True,스벅러,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592638,1107592638
홈/생활용품_주방용품,퍼마라이프 통9겹 냄비 새상품 고급브랜드,"130,000",SALE,중고나라 회원,False,True,모모987,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592459,1107592459
홈/생활용품_주방용품,빈티지 요한 하빌랜드 브라이덜로즈 찻잔 듀오,"49,000",SALE,본인인증 회원,False,True,victoria9981,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592437,1107592437
홈/생활용품_주방용품,스타벅스 엘마 서머 걸 러브인 패리스 22 체리블라썸 핑크 텀블러 473ml 그린 팝핸들 콜드컵 473ml,"2,025",SALE,중고나라 회원,False,True,스벅러,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592405,1107592405
홈/생활용품_주방용품,영국 빈티지 웨지우드 클리오 사각접시,"58,000",SALE,본인인증 회원,False,True,victoria9981,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592154,1107592154
홈/생활용품_주방용품,[레어]1900s 영국 올드 앤슬리 3268패턴 아르데코 찻잔 트리오,"125,000",SALE,본인인증 회원,False,True,victoria9981,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592044,1107592044
홈/생활용품_주방용품,독일 빈티지 카이저 로만티카 마르세유 커피잔 트리오,"79,000",SALE,본인인증 회원,False,True,victoria9981,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591904,1107591904
홈/생활용품_주방용품,"[개당만원,새상품]물 빠지는 튼튼한 pvc 방수 그물망 목욕탕 가방 물놀이 수영장 가방 비치백 낚시 신발 낚시대 모노키니 래쉬가드 수영복 수영모 휴대용 차량용 수납 정리 보관 선반","10,000",ESCROW,중고나라 회원,True,True,gumibear,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591822,1107591822
홈/생활용품_주방용품,크로우캐년 접시 머그컵 판매.,"100,000",SALE,중고나라 회원,False,True,앙잉용,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591816,1107591816
홈/생활용품_주방용품,판매완료,"15,000",RESERVATION,중고나라 회원,False,True,뀰귤,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591788,1107591788
홈/생활용품_주방용품,레어]영국 빈티지 아담스 브렌트우드 그레이비소스 보트,"87,000",SALE,본인인증 회원,False,True,victoria9981,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591709,1107591709
홈/생활용품_주방용품,닌자,"250,000",SALE,본인인증 회원,False,True,윤이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591660,1107591660
홈/생활용품_주방용품,[판매 완료] - 다리미,"20,000",SALE,인증+안전거래 회원,False,True,okapple,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591442,1107591442
홈/생활용품_주방용품,앤틱 티스푼+보관함+바구니,"23,000",SALE,본인인증 회원,False,True,눈부신나의친구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591402,1107591402
홈/생활용품_주방용품,스타벅스 22 베어리스타 글라스 콜드컵 새상품,"30,000",SALE,본인인증 회원,False,True,amie,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591046,1107591046
홈/생활용품_주방용품,"독일 STW 바바리아의 데미타스 찻잔과 받침 세트, 크림&밀크 jar셋트.","250,000",SALE,본인인증 회원,False,True,눈부신나의친구,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590832,1107590832
홈/생활용품_주방용품,스타벅스 윤슬 라인스톤 텀블러 핑크 엘마 텀블러 스타벅스 프렌치 서머 라인 머그 레터링 플레이트 대만 체리블라썸 사쿠라 벚꽃 더블월 글라스 머그 400ml 디즈니 오너먼트 데미 북미 flourish 키링 키체인,"2,025",SALE,중고나라 회원,False,True,스벅러,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590627,1107590627
홈/생활용품_주방용품,칼로볼 새상품 민트,"32,000",ESCROW,본인인증 회원,True,True,가방 판매,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590363,1107590363
홈/생활용품_주방용품,[새상품] 스타벅스 SS NCT 엘마 텀블러,"22,000",ESCROW,인증+안전거래 회원,True,True,비우려고 했는데,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590358,1107590358
홈/생활용품_주방용품,(새상품) 스타벅스 헬로 키티 세라믹 머그 355ml,"45,000",SALE,본인인증 회원,False,True,lishwish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590040,1107590040
홈/생활용품_주방용품,(새상품) 스타벅스 (c)그린라인 요거트볼 400ml,"16,000",SALE,본인인증 회원,False,True,lishwish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589986,1107589986
홈/생활용품_주방용품,(새상품) 스타벅스 SS 쿨 써머 미르 올데이 핸들 콜드컵 932ml,"45,000",SALE,본인인증 회원,False,True,lishwish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589969,1107589969
홈/생활용품_주방용품,(새상품) 스타벅스 SS 홀리데이 프렌즈 캠프 텀블러 710ml,"40,000",SALE,본인인증 회원,False,True,lishwish,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589927,1107589927
홈/생활용품_주방용품,스타우브 스켑슐트 르크루제 판매합니다,"100,000",SALE,중고나라 회원,False,True,집순희,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589907,1107589907
홈/생활용품_주방용품,업소용 회도리 세절기 다용도 사용가능,"300,000",SOLD_OUT,중고나라 회원,False,False,불주먹에이스88,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589813,1107589813
홈/생활용품_주방용품,미개봉 오왈라 텀블러 미스티호라이즌 32oz,"45,000",SALE,중고나라 회원,False,True,김안녕ㅇ,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589542,1107589542
홈/생활용품_주방용품,[새상품] 스타벅스 스웰 SS 푸드 컨테이너,"30,000",SALE,중고나라 회원,False,True,yonolife,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107589451,1107589451
홈/생활용품_주방용품,스타벅스 할로윈 베어리스타 피규어 텀블러,"30,000",SALE,인증+안전거래 회원,False,True,lliataupso,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588853,1107588853
홈/생활용품_주방용품,스타벅스 써모스 JDE 텀블러,"27,000",SALE,인증+안전거래 회원,False,True,lliataupso,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588814,1107588814
홈/생활용품_주방용품,스타벅스 블랙 매트 데비 텀블러 473ml 새상품 판매합니다.,"20,000",SALE,인증+안전거래 회원,False,True,풍류마제,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588705,1107588705
홈/생활용품_주방용품,스타벅스 비치 타올,"35,000",SALE,인증+안전거래 회원,False,True,lliataupso,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588657,1107588657
홈/생활용품_주방용품,바이타믹스,"180,000",SALE,본인인증 회원,False,True,직진말고우회전,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588593,1107588593
홈/생활용품_주방용품,코렐 후르츠 하베스트 주방그릇,"3,000",ESCROW,본인인증 회원,True,True,바로이때,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588564,1107588564
홈/생활용품_주방용품,네스프레소 버츄오 머신,"58,000",SOLD_OUT,본인인증 회원,False,False,asdf200111,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588410,1107588410
홈/생활용품_주방용품,스타벅스 라탄 바스켓 앤 매트 세트,"40,000",SALE,인증+안전거래 회원,False,True,lliataupso,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588296,1107588296
홈/생활용품_주방용품,새제품 이연복 프라이팬 세트 클래딘,"75,000",ESCROW,본인인증 회원,True,True,웰시코기짱,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107588134,1107588134
홈/생활용품_주방용품,스타우브 베이비윅 (새상품),"40,000",SOLD_OUT,중고나라 회원,False,False,Bkiki,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587836,1107587836
홈/생활용품_주방용품,🌸 스타벅스 타이베이 101 벚꽃 한정판 머그컵 473ml  🌸,"28,000",SALE,인증+안전거래 회원,False,True,dysonslim369,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587652,1107587652
홈/생활용품_주방용품,안방전기그릴 모델 AB901MF 판매합니다,"120,000",SALE,본인인증 회원,False,True,마일드보이,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587497,1107587497
홈/생활용품_주방용품,독일 햄튼 아이전 고급 칼 3종세트,"30,000",SOLD_OUT,중고나라 회원,True,False,7월저녁,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107587204,1107587204
홈/생활용품_주방용품,(새제품)노스트로 우노 커피저울,"52,000",ESCROW,본인인증 회원,True,True,saltdome,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107586240,1107586240
홈/생활용품_주방용품,디온리 스텐찜기,"43,000",SALE,본인인증 회원,False,True,카르페디엠 율율,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107585912,1107585912
